,Unnamed: 0,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
20,20,20,2022-01-01,3,0,0.54,6,4,66.67,228,181,79.39,26.63,118,40,37,41,72,48,21,3,258,124,48.06,3,2,66.67,14,4,28.57,0,0,0.0,22,1,4.55,3,2,66.67,4,0,0.0,0,0,0,3,1,33.33,1,2,6,0,3,4,67,19,28.36,1,1,18,10,55.56,95,61,64.21,48,22,45.83,2,0,0.0,67,34,6,0,0,92,62,67.39,39,38,97.44,77,65,84.42,54,30,55.56,34,16,47.06,46,32,69.57,2,2,100.0,9,9,100.0,9,14.78,2.38,23.68,18.34,23.44,25.83,1,0
21,21,21,2021-12-28,4,1,1.19,12,5,41.67,300,228,76.0,49.25,112,16,42,54,93,30,49,14,245,117,47.76,3,0,0.0,36,6,16.67,5,2,40.0,20,4,20.0,4,1,25.0,3,2,66.67,0,0,0,14,3,21.43,2,3,23,4,10,15,69,27,39.13,0,4,12,6,50.0,66,37,56.06,53,32,60.38,4,2,50.0,54,30,12,0,0,125,82,65.6,49,46,93.88,85,69,81.18,48,26,54.17,43,24,55.81,59,39,66.1,5,2,40.0,25,23,92.0,5,13.77,2.61,16.0,16.81,20.52,8.15,1,0
22,22,22,2021-12-10,6,1,0.47,5,2,40.0,239,160,66.95,37.95,131,24,51,56,94,44,43,7,247,103,41.7,2,0,0.0,14,1,7.14,4,2,50.0,21,1,4.76,2,1,50.0,3,0,0.0,0,0,0,7,3,42.86,3,3,11,0,5,6,67,17,25.37,0,2,14,5,35.71,65,35,53.85,72,39,54.17,6,0,0.0,58,34,18,0,0,117,62,52.99,29,26,89.66,53,40,75.47,43,18,41.86,39,15,38.46,46,27,58.7,4,2,50.0,27,22,81.48,8,14.2,2.17,17.99,15.86,19.08,9.03,0,0
23,23,23,2021-12-04,4,1,0.79,11,4,36.36,212,155,73.11,23.43,96,25,40,31,64,28,22,14,178,87,48.88,6,2,33.33,17,7,41.18,2,1,50.0,20,2,10.0,5,2,40.0,2,0,0.0,0,0,0,12,3,25.0,3,2,12,1,8,9,53,16,30.19,0,3,25,13,52.0,73,47,64.38,25,16,64.0,2,0,0.0,42,24,9,3,0,97,62,63.92,31,28,90.32,63,52,82.54,51,35,68.63,40,29,72.5,71,53,74.65,2,0,0.0,10,8,80.0,10,15.85,2.44,24.06,20.05,25.07,32.13,1,0
24,24,24,2021-12-01,4,1,0.94,12,5,41.67,374,285,76.2,50.86,138,12,35,91,106,29,55,22,266,123,46.24,7,1,14.29,43,7,16.28,1,1,100.0,29,2,6.9,6,0,0.0,5,2,40.0,0,0,0,21,5,23.81,4,9,27,4,13,15,74,36,48.65,3,2,8,4,50.0,78,35,44.87,59,26,44.07,1,1,100.0,47,14,18,4,0,139,92,66.19,61,59,96.72,99,72,72.73,58,28,48.28,57,28,49.12,59,48,81.36,11,4,36.36,35,28,80.0,2,16.56,2.85,15.51,20.63,19.58,6.75,1,0
25,25,25,2021-11-28,4,2,2.74,16,5,31.25,276,204,73.91,44.1,124,23,47,54,90,33,47,10,254,103,40.55,4,1,25.0,26,7,26.92,2,1,50.0,19,6,31.58,6,1,16.67,4,3,75.0,1,1,100,13,3,23.08,3,6,24,9,6,20,70,17,24.29,2,4,17,7,41.18,72,42,58.33,54,19,35.19,3,1,33.33,54,13,19,0,0,116,78,67.24,46,40,86.96,71,54,76.06,55,37,67.27,46,29,63.04,68,51,75.0,1,1,100.0,28,22,78.57,6,15.81,2.6,19.93,16.57,19.93,4.88,0,0
26,26,26,2021-11-20,8,4,2.4,18,8,44.44,323,242,74.92,42.65,103,9,33,61,77,20,36,21,197,97,49.24,7,0,0.0,37,10,27.03,6,2,33.33,22,3,13.64,8,3,37.5,3,0,0.0,1,0,0,21,6,28.57,6,5,27,6,10,25,50,17,34.0,1,1,9,3,33.33,65,45,69.23,37,14,37.84,2,0,0.0,49,11,7,2,0,136,88,64.71,59,54,91.53,82,66,80.49,59,33,55.93,56,37,66.07,63,53,84.13,7,3,42.86,21,18,85.71,6,15.72,2.88,18.27,16.7,22.71,12.91,1,2
27,27,27,2021-11-07,4,0,0.42,6,1,16.67,306,241,78.76,41.45,107,26,39,42,68,32,28,8,205,82,40.0,2,1,50.0,24,4,16.67,0,0,0.0,15,2,13.33,2,1,50.0,4,0,0.0,0,0,0,12,4,33.33,3,6,15,1,7,8,68,17,25.0,2,1,14,6,42.86,82,47,57.32,29,10,34.48,0,0,0.0,42,12,20,3,1,126,85,67.46,58,53,91.38,89,80,89.89,40,23,57.5,40,26,65.0,63,42,66.67,6,2,33.33,23,18,78.26,5,14.2,3.15,13.07,19.62,20.53,10.15,0,0
28,28,28,2021-10-30,3,0,0.52,7,3,42.86,302,230,76.16,42.38,113,21,28,64,92,47,34,11,258,110,42.64,5,1,20.0,32,4,12.5,3,1,33.33,18,1,5.56,5,0,0.0,2,0,0.0,0,0,0,28,9,32.14,9,2,27,1,18,10,66,20,30.3,2,1,11,1,9.09,76,37,48.68,66,29,43.94,3,2,66.67,35,26,16,2,0,137,96,70.07,41,38,92.68,85,66,77.65,46,27,58.7,71,50,70.42,82,69,84.15,2,0,0.0,21,18,85.71,9,14.87,3.08,15.23,23.79,24.43,13.48,1,0
29,29,29,2021-10-23,4,5,2.6,19,8,42.11,370,299,80.81,50.2,117,20,41,56,89,26,44,19,270,122,45.19,9,1,11.11,38,9,23.68,6,4,66.67,21,6,28.57,5,3,60.0,4,1,25.0,0,0,0,15,9,60.0,9,8,24,2,8,19,81,26,32.1,1,2,14,4,28.57,58,34,58.62,65,33,50.77,1,0,0.0,48,26,12,3,0,127,92,72.44,56,50,89.29,117,104,88.89,41,23,56.1,43,30,69.77,65,55,84.62,8,4,50.0,34,32,94.12,11,16.63,3.3,11.08,18.25,18.9,8.58,0,2
