,Unnamed: 0.1,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
20,20,20,2018-12-22,4,1,1.34,9,3,33.33,190,133,70.0,33.17,100,21,30,49,56,24,21,11,189,82,43.39,1,0,0.0,24,2,8.33,1,1,100.0,20,4,20.0,4,1,25.0,4,2,50.0,1,1,100,11,4,36.36,3,3,17,2,7,11,53,22,41.51,3,5,15,9,60.0,65,38,58.46,42,11,26.19,8,5,62.5,49,26,13,2,0,81,43,53.09,31,29,93.55,51,42,82.35,35,14,40.0,40,20,50.0,38,23,60.53,0,0,0.0,22,17,77.27,5,13.47,2.13,18.42,14.2,22.16,13.69,1,-1
21,21,21,2018-12-15,8,2,1.45,8,3,37.5,240,168,70.0,26.4,113,26,38,49,82,38,23,21,225,101,44.89,3,1,33.33,26,7,26.92,1,0,0.0,16,1,6.25,0,0,0.0,2,0,0.0,0,0,0,13,4,30.77,5,4,17,2,6,14,55,20,36.36,1,3,17,8,47.06,72,43,59.72,44,18,40.91,6,4,66.67,56,20,5,0,0,106,63,59.43,42,36,85.71,54,39,72.22,46,24,52.17,40,24,60.0,59,34,57.63,9,4,44.44,16,12,75.0,10,16.2,2.47,19.17,15.48,21.25,21.63,0,-1
22,22,22,2018-12-08,8,1,1.83,11,4,36.36,234,163,69.66,38.6,110,17,47,46,96,44,43,9,256,118,46.09,2,1,50.0,27,5,18.52,3,1,33.33,24,5,20.83,7,3,42.86,2,2,100.0,0,0,0,12,5,41.67,5,5,18,4,9,18,71,23,32.39,4,0,12,1,8.33,63,43,68.25,61,34,55.74,4,2,50.0,60,20,9,2,0,103,61,59.22,25,21,84.0,63,46,73.02,47,27,57.45,44,22,50.0,60,39,65.0,2,1,50.0,26,21,80.77,11,14.93,1.93,20.09,13.8,22.33,9.8,1,1
23,23,23,2018-12-04,4,1,2.24,8,4,50.0,275,207,75.27,38.35,112,19,42,51,72,33,28,11,216,90,41.67,4,2,50.0,22,5,22.73,1,0,0.0,20,1,5.0,4,1,25.0,2,0,0.0,1,0,0,7,2,28.57,3,4,13,1,4,7,65,32,49.23,5,3,16,11,68.75,57,26,45.61,52,23,44.23,3,0,0.0,61,14,10,2,0,123,82,66.67,43,39,90.7,56,47,83.93,39,20,51.28,44,25,56.82,68,45,66.18,5,1,20.0,24,17,70.83,7,16.39,2.89,14.18,18.02,18.24,10.17,0,-1
24,24,24,2018-11-30,5,2,1.31,13,3,23.08,262,203,77.48,50.65,126,14,35,77,114,50,45,19,335,134,40.0,6,1,16.67,33,7,21.21,1,0,0.0,28,6,21.43,7,3,42.86,4,1,25.0,0,0,0,14,5,35.71,4,6,19,1,9,16,91,29,31.87,2,1,13,4,30.77,78,48,61.54,92,31,33.7,6,1,16.67,44,32,3,1,0,118,88,74.58,37,34,91.89,69,56,81.16,52,38,73.08,58,37,63.79,68,62,91.18,2,0,0.0,31,27,87.1,11,12.25,1.97,19.85,20.0,23.05,8.96,1,1
25,25,25,2018-11-24,4,0,1.12,6,0,0.0,183,124,67.76,31.92,116,26,40,50,73,39,24,10,266,118,44.36,1,0,0.0,22,2,9.09,2,0,0.0,23,4,17.39,3,0,0.0,5,3,60.0,0,0,0,5,1,20.0,2,2,11,1,4,7,51,17,33.33,1,1,15,8,53.33,90,53,58.89,69,28,40.58,6,2,33.33,60,34,13,3,0,91,56,61.54,27,21,77.78,41,32,78.05,34,22,64.71,29,20,68.97,54,33,61.11,4,2,50.0,21,19,90.48,11,12.27,1.73,18.58,13.79,20.64,10.97,0,-1
26,26,26,2018-11-10,2,2,2.53,20,6,30.0,439,375,85.42,58.23,120,8,32,80,107,36,44,27,249,112,44.98,13,3,23.08,47,14,29.79,0,0,0.0,26,5,19.23,4,2,50.0,8,0,0.0,0,0,0,17,5,29.41,5,5,21,4,8,17,54,21,38.89,0,1,7,3,42.86,53,34,64.15,75,29,38.67,5,3,60.0,16,4,7,2,0,143,114,79.72,60,53,88.33,172,155,90.12,48,29,60.42,85,69,81.18,73,63,86.3,0,0,0.0,21,18,85.71,2,16.29,3.92,10.93,20.89,20.25,11.65,1,1
27,27,27,2018-11-03,2,0,0.85,11,2,18.18,265,185,69.81,45.49,110,15,44,51,85,31,41,13,194,74,38.14,3,1,33.33,27,4,14.81,1,1,100.0,26,5,19.23,6,3,50.0,6,1,16.67,0,0,0,14,6,42.86,4,7,19,2,8,16,39,14,35.9,4,1,11,4,36.36,49,27,55.1,65,24,36.92,6,4,66.67,58,19,13,2,0,111,65,58.56,40,38,95.0,69,49,71.01,52,23,44.23,44,28,63.64,69,45,65.22,0,0,0.0,26,19,73.08,8,14.09,2.5,19.62,15.86,21.88,9.79,1,-1
28,28,28,2018-10-27,2,1,0.46,3,1,33.33,195,124,63.59,22.32,112,39,22,51,53,29,18,6,160,77,48.13,2,0,0.0,19,1,5.26,4,1,25.0,11,1,9.09,0,0,0.0,3,0,0.0,0,0,0,5,1,20.0,1,0,10,1,5,2,43,15,34.88,3,4,18,7,38.89,58,37,63.79,35,17,48.57,4,0,0.0,61,31,4,0,0,98,49,50.0,23,17,73.91,44,35,79.55,36,13,36.11,41,23,56.1,60,30,50.0,2,1,50.0,21,15,71.43,8,15.58,2.22,18.46,19.73,21.15,37.69,0,-1
29,29,29,2018-10-20,2,4,2.62,22,7,31.82,297,222,74.75,39.37,123,14,45,64,110,31,50,29,254,122,48.03,9,0,0.0,38,14,36.84,7,1,14.29,22,6,27.27,4,1,25.0,7,3,42.86,0,0,0,15,9,60.0,7,9,26,5,8,29,65,29,44.62,0,2,8,4,50.0,63,39,61.9,80,35,43.75,5,3,60.0,43,16,15,3,0,121,76,62.81,48,44,91.67,65,50,76.92,65,39,60.0,45,26,57.78,68,50,73.53,5,2,40.0,21,19,90.48,4,16.77,2.75,21.89,18.87,19.86,7.4,1,1
30,30,30,2018-10-06,4,0,0.33,6,4,66.67,200,145,72.5,29.1,104,28,28,48,85,38,30,17,238,100,42.02,3,2,66.67,26,4,15.38,3,0,0.0,12,2,16.67,2,1,50.0,5,1,20.0,0,0,0,5,0,0.0,0,1,15,2,2,6,62,17,27.42,3,1,19,7,36.84,80,43,53.75,40,18,45.0,11,5,45.45,57,31,11,1,1,97,56,57.73,31,30,96.77,43,35,81.4,53,29,54.72,46,30,65.22,53,37,69.81,6,3,50.0,20,19,95.0,6,12.82,2.08,26.5,23.13,24.51,14.77,0,-1
31,31,31,2018-09-30,6,1,2.12,17,5,29.41,282,203,71.99,57.12,149,18,45,86,126,35,65,26,295,161,54.58,7,1,14.29,38,9,23.68,5,2,40.0,28,5,17.86,10,3,30.0,8,0,0.0,0,0,0,27,10,37.04,12,6,30,4,18,32,62,29,46.77,2,2,4,2,50.0,37,28,75.68,132,70,53.03,3,2,66.67,19,8,11,1,0,131,83,63.36,41,37,90.24,74,59,79.73,57,35,61.4,58,43,74.14,83,63,75.9,0,0,0.0,33,28,84.85,4,12.38,2.5,20.21,17.91,23.4,8.48,1,-1
32,32,32,2018-09-22,3,0,0.03,1,1,100.0,209,152,72.73,23.29,87,22,27,38,52,28,21,3,182,78,42.86,1,1,100.0,12,1,8.33,3,0,0.0,11,0,0.0,1,0,0.0,1,0,0.0,0,0,0,7,3,42.86,3,1,11,1,3,6,39,13,33.33,2,5,19,11,57.89,72,34,47.22,23,10,43.48,10,4,40.0,52,16,6,1,0,95,60,63.16,29,28,96.55,60,47,78.33,39,19,48.72,39,20,51.28,48,32,66.67,5,2,40.0,15,13,86.67,5,15.66,2.71,18.66,27.92,23.35,35.36,1,-1
33,33,33,2018-09-15,2,1,1.12,6,2,33.33,179,129,72.07,27.25,83,15,31,37,52,23,23,6,232,108,46.55,1,0,0.0,19,2,10.53,0,0,0.0,21,4,19.05,4,2,50.0,3,1,33.33,0,0,0,5,1,20.0,2,0,9,1,3,10,48,21,43.75,0,4,18,8,44.44,83,52,62.65,51,28,54.9,3,0,0.0,48,19,10,0,0,78,47,60.26,30,29,96.67,38,27,71.05,49,30,61.22,39,24,61.54,45,33,73.33,0,0,0.0,17,15,88.24,14,11.9,2.08,27.37,11.68,22.81,18.95,0,-1
34,34,34,2018-09-02,3,2,1.93,13,3,23.08,213,166,77.93,28.0,90,19,32,39,82,36,30,16,254,113,44.49,3,0,0.0,20,5,25.0,2,2,100.0,21,6,28.57,3,0,0.0,10,5,50.0,0,0,0,20,11,55.0,11,3,18,3,13,21,68,26,38.24,3,3,16,11,68.75,73,41,56.16,58,27,46.55,12,3,25.0,59,27,12,3,0,89,67,75.28,27,21,77.78,51,39,76.47,28,13,46.43,45,32,71.11,62,45,72.58,3,2,66.67,7,5,71.43,4,15.9,2.34,13.15,16.54,20.71,8.44,1,-1
35,35,35,2018-08-25,10,0,1.13,14,5,35.71,264,197,74.62,37.32,105,26,37,42,90,49,31,10,253,118,46.64,6,1,16.67,33,12,36.36,0,0,0.0,20,2,10.0,8,1,12.5,1,0,0.0,0,0,0,8,2,25.0,4,5,16,3,4,13,66,17,25.76,1,0,5,1,20.0,69,48,69.57,71,34,47.89,3,3,100.0,55,29,9,1,0,119,75,63.03,32,29,90.63,80,71,88.75,45,23,51.11,53,34,64.15,63,40,63.49,10,3,30.0,33,30,90.91,4,13.74,2.47,17.05,19.83,21.84,7.29,0,0
36,36,36,2018-08-18,10,0,1.21,11,1,9.09,309,225,72.82,52.32,132,21,31,80,119,48,55,16,271,121,44.65,4,0,0.0,32,6,18.75,2,0,0.0,22,4,18.18,5,2,40.0,7,1,14.29,0,0,0,14,4,28.57,3,3,15,0,8,10,74,27,36.49,2,0,11,6,54.55,60,34,56.67,77,31,40.26,7,6,85.71,32,21,14,2,0,135,85,62.96,37,35,94.59,87,68,78.16,57,28,49.12,84,50,59.52,62,48,77.42,3,1,33.33,27,20,74.07,3,14.98,2.64,18.45,16.61,21.58,9.59,1,0
37,37,37,2018-08-11,4,0,0.79,8,0,0.0,266,192,72.18,38.58,126,23,47,56,101,42,46,13,261,144,55.17,3,0,0.0,21,5,23.81,0,0,0.0,21,2,9.52,4,1,25.0,3,0,0.0,0,0,0,16,5,31.25,5,6,20,2,9,17,55,30,54.55,2,2,12,4,33.33,85,59,69.41,73,33,45.21,11,3,27.27,43,32,9,1,0,102,66,64.71,38,34,89.47,79,62,78.48,54,33,61.11,47,29,61.7,68,48,70.59,5,1,20.0,20,14,70.0,10,13.96,2.42,20.3,18.12,23.07,9.97,0,-1
