,Unnamed: 0,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
20,20,20,2022-04-20,6,0,0.81,6,2,33.33,591,507,85.79,63.86,113,16,44,53,88,34,39,15,234,111,47.44,0,0,0.0,27,3,11.11,0,0,0.0,23,3,13.04,5,1,20.0,1,0,0.0,0,0,0,17,10,58.82,11,6,25,1,15,15,59,27,45.76,3,1,13,4,30.77,73,40,54.79,73,33,45.21,1,1,100.0,48,7,12,1,0,191,140,73.3,93,91,97.85,229,206,89.96,74,41,55.41,63,44,69.84,84,61,72.62,8,2,25.0,20,20,100.0,4,17.58,5.42,12.52,13.05,18.74,7.16,0,0
21,21,21,2022-04-10,6,1,1.91,8,3,37.5,479,416,86.85,50.8,93,19,53,21,71,32,34,5,240,113,47.08,0,0,0.0,16,4,25.0,1,0,0.0,22,3,13.64,4,2,50.0,2,0,0.0,1,0,0,6,0,0.0,0,9,15,6,1,16,90,30,33.33,0,2,11,4,36.36,79,48,60.76,28,14,50.0,3,2,66.67,36,12,12,1,0,139,105,75.54,77,72,93.51,188,180,95.74,57,33,57.89,30,16,53.33,60,35,58.33,4,3,75.0,19,17,89.47,7,17.71,4.79,11.9,12.79,18.65,16.39,0,0
22,22,22,2022-04-04,6,3,1.31,5,5,100.0,265,202,76.23,33.83,91,18,37,36,89,43,36,10,217,106,48.85,2,2,100.0,17,2,11.76,1,0,0.0,25,1,4.0,0,0,0.0,2,1,50.0,1,1,100,5,1,20.0,3,4,10,2,5,6,88,28,31.82,2,0,13,3,23.08,68,49,72.06,19,12,63.16,3,3,100.0,40,25,11,0,0,104,60,57.69,56,54,96.43,74,62,83.78,41,16,39.02,32,15,46.88,49,26,53.06,3,0,0.0,17,14,82.35,10,16.02,2.76,15.47,15.56,20.22,13.93,1,2
23,23,23,2022-03-14,4,0,0.96,7,1,14.29,245,173,70.61,28.62,118,42,43,33,91,53,29,9,193,91,47.15,1,0,0.0,10,5,50.0,2,0,0.0,26,2,7.69,2,0,0.0,2,0,0.0,0,0,0,6,1,16.67,1,8,12,2,4,14,67,28,41.79,2,0,17,5,29.41,62,38,61.29,31,10,32.26,3,1,33.33,72,12,6,3,0,102,58,56.86,33,29,87.88,76,62,81.58,52,25,48.08,31,14,45.16,59,26,44.07,8,5,62.5,15,11,73.33,15,14.53,2.53,21.22,16.2,20.69,17.29,1,1
24,24,24,2022-03-05,6,2,3.03,12,8,66.67,310,237,76.45,37.02,122,30,57,35,93,52,32,9,236,110,46.61,2,1,50.0,17,6,35.29,5,1,20.0,26,4,15.38,7,1,14.29,1,1,100.0,1,1,100,15,7,46.67,6,8,28,7,10,22,87,40,45.98,8,0,10,5,50.0,71,37,52.11,32,17,53.13,6,4,66.67,64,19,8,3,0,132,88,66.67,50,48,96.0,86,70,81.4,45,25,55.56,35,22,62.86,84,48,57.14,7,3,42.86,12,9,75.0,8,16.99,3.16,14.52,14.79,19.9,14.52,0,2
25,25,25,2022-02-26,10,1,1.01,10,4,40.0,511,414,81.02,59.08,143,25,65,53,110,47,47,16,231,106,45.89,5,1,20.0,24,6,25.0,1,0,0.0,25,2,8.0,5,1,20.0,4,0,0.0,0,0,0,19,2,10.53,3,9,32,5,9,20,86,38,44.19,0,1,5,2,40.0,54,36,66.67,45,15,33.33,1,1,100.0,45,20,5,0,0,191,123,64.4,75,74,98.67,169,153,90.53,66,33,50.0,48,30,62.5,85,56,65.88,6,3,50.0,27,20,74.07,2,17.79,4.19,12.92,20.3,19.1,18.14,1,1
26,26,26,2022-02-23,4,4,0.58,6,5,83.33,527,452,85.77,54.44,97,13,28,56,88,36,41,11,232,113,48.71,1,0,0.0,22,3,13.64,1,1,100.0,24,2,8.33,4,0,0.0,2,0,0.0,0,0,0,10,5,50.0,5,2,15,4,6,13,93,25,26.88,1,1,8,1,12.5,84,58,69.05,27,15,55.56,4,4,100.0,41,23,9,1,0,163,115,70.55,96,91,94.79,229,215,93.89,66,30,45.45,95,63,66.32,74,61,82.43,2,2,100.0,18,16,88.89,7,16.91,5.43,12.52,17.58,22.14,8.38,0,2
27,27,27,2022-02-19,6,0,0.48,6,0,0.0,352,283,80.4,41.71,108,23,49,36,96,36,47,13,218,110,50.46,2,0,0.0,17,2,11.76,2,2,100.0,34,2,5.88,4,1,25.0,6,0,0.0,0,0,0,14,5,35.71,4,2,18,3,10,9,76,32,42.11,1,1,9,3,33.33,62,45,72.58,21,11,52.38,1,1,100.0,41,16,4,1,0,133,90,67.67,72,70,97.22,112,101,90.18,43,20,46.51,37,24,64.86,70,42,60.0,1,1,100.0,19,16,84.21,7,16.06,3.32,12.22,17.6,20.76,14.43,1,0
28,28,28,2022-02-12,10,0,0.23,6,3,50.0,482,387,80.29,56.18,149,21,60,68,110,41,48,21,278,119,42.81,2,1,50.0,39,4,10.26,2,0,0.0,23,2,8.7,9,0,0.0,3,1,33.33,0,0,0,17,2,11.76,2,10,25,8,7,18,115,39,33.91,0,0,7,2,28.57,76,40,52.63,41,20,48.78,4,2,50.0,52,17,10,0,0,163,106,65.03,82,78,95.12,173,158,91.33,61,34,55.74,64,49,76.56,89,63,70.79,5,2,40.0,29,26,89.66,6,17.24,4.77,12.66,22.12,19.7,6.1,0,1
29,29,29,2022-02-09,10,1,1.52,12,5,41.67,642,557,86.76,69.59,114,5,42,67,104,34,51,19,235,127,54.04,7,3,42.86,37,6,16.22,0,0,0.0,22,4,18.18,6,2,33.33,1,0,0.0,1,0,0,26,2,7.69,5,4,34,4,16,15,96,44,45.83,2,1,3,1,33.33,63,43,68.25,36,25,69.44,2,1,50.0,38,15,16,2,0,193,145,75.13,105,103,98.1,268,243,90.67,53,27,50.94,81,57,70.37,78,57,73.08,3,1,33.33,14,14,100.0,5,18.12,6.55,8.26,21.05,19.18,5.03,0,1
