,Date,Match,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Home,Win
20,2022-04-16,Watford - Brentford 1:2,Brentford,4-3-3,2,1.48,16,5,31.25,364,284,78.02,49.38,141,29,38,74,97,48,40,9,211,100,47.39,8,2,25.0,36,11,30.56,2,0,0.0,24,5,20.83,5,3,60.0,2,2,100.0,0,0,0,13,7,53.85,7,5,14,1,11,16,63,27,42.86,0,1,15,4,26.67,65,38,58.46,55,23,41.82,6,6,100.0,40,20,9,1,0,125,85,68.0,56,55,98.21,127,102,80.31,43,19,44.19,56,31,55.36,69,47,68.12,3,1,33.33,36,29,80.56,9,16.0,2.98,11.81,21.31,19.7,9.4,Watford,Brentford,0,1
21,2022-04-10,Brentford - West Ham United 2:0,Brentford,4-1-4-1,2,2.22,14,7,50.0,470,392,83.4,44.78,107,14,41,52,72,27,33,12,172,85,49.42,6,3,50.0,25,11,44.0,3,1,33.33,21,2,9.52,4,2,50.0,1,0,0.0,0,0,0,25,10,40.0,9,12,33,4,19,24,47,18,38.3,1,0,4,1,25.0,49,29,59.18,39,23,58.97,3,1,33.33,37,16,2,0,0,174,127,72.99,73,72,98.63,152,134,88.16,40,23,57.5,42,22,52.38,70,52,74.29,6,3,50.0,20,18,90.0,9,18.8,4.95,8.51,16.34,17.85,30.21,Brentford,West Ham United,1,1
22,2022-04-02,Chelsea - Brentford 1:4,Brentford,3-5-2,4,2.23,15,6,40.0,248,189,76.21,31.78,96,35,29,32,83,45,29,9,190,105,55.26,4,0,0.0,19,7,36.84,2,1,50.0,26,6,23.08,7,3,42.86,4,0,0.0,0,0,0,11,4,36.36,3,8,16,1,6,18,47,17,36.17,0,1,18,6,33.33,76,51,67.11,38,24,63.16,4,2,50.0,48,14,7,0,0,96,61,63.54,47,39,82.98,65,57,87.69,32,15,46.88,32,23,71.88,56,33,58.93,3,2,66.67,13,12,92.31,12,16.52,2.48,12.9,14.94,19.0,14.79,Chelsea,Brentford,0,1
23,2022-03-20,Leicester City - Brentford 2:1,Brentford,4-5-1,1,2.04,13,5,38.46,424,356,83.96,46.77,101,13,34,54,78,30,33,15,183,96,52.46,4,2,50.0,31,9,29.03,4,1,25.0,26,3,11.54,5,1,20.0,1,0,0.0,0,0,0,24,9,37.5,9,9,27,3,9,29,73,34,46.58,3,2,11,4,36.36,57,35,61.4,34,19,55.88,3,0,0.0,35,8,10,2,0,140,107,76.43,62,61,98.39,157,137,87.26,57,37,64.91,52,36,69.23,79,61,77.22,2,0,0.0,22,22,100.0,8,17.08,4.42,13.44,15.35,19.39,14.48,Leicester City,Brentford,0,-1
24,2022-03-12,Brentford - Burnley 2:0,Brentford,4-1-4-1,2,1.85,13,4,30.77,448,343,76.56,56.36,143,26,59,58,106,49,49,8,187,98,52.41,7,1,14.29,23,9,39.13,4,0,0.0,18,3,16.67,2,1,50.0,0,0,0.0,1,1,100,14,7,50.0,8,3,23,5,10,12,49,20,40.82,4,0,8,1,12.5,61,41,67.21,45,25,55.56,7,6,85.71,64,31,6,1,0,169,101,59.76,59,53,89.83,156,136,87.18,66,32,48.48,65,38,58.46,83,56,67.47,8,2,25.0,29,25,86.21,5,16.27,3.67,14.73,17.15,20.36,9.38,Brentford,Burnley,1,1
25,2022-03-05,Norwich City - Brentford 1:3,Brentford,4-1-4-1,3,2.47,11,6,54.55,294,215,73.13,41.32,121,31,44,46,94,41,40,13,185,97,52.43,4,1,25.0,24,4,16.67,4,1,25.0,24,4,16.67,5,3,60.0,1,0,0.0,2,2,100,7,1,14.29,1,7,13,1,4,11,57,26,45.61,3,1,15,7,46.67,52,28,53.85,36,18,50.0,3,1,33.33,48,28,18,5,0,125,77,61.6,46,42,91.3,81,63,77.78,50,32,64.0,49,33,67.35,69,44,63.77,4,0,0.0,16,14,87.5,5,16.42,2.77,17.01,16.99,19.95,10.29,Norwich City,Brentford,0,1
26,2022-02-26,Brentford - Newcastle United 0:2,Brentford,4-1-4-1,0,0.47,5,1,20.0,275,204,74.18,38.52,109,18,37,54,91,34,35,22,187,80,42.78,1,0,0.0,24,3,12.5,2,1,50.0,19,1,5.26,6,0,0.0,2,1,50.0,0,0,0,12,3,25.0,4,6,23,3,9,16,43,16,37.21,0,2,23,10,43.48,52,22,42.31,42,19,45.24,3,0,0.0,52,22,9,3,1,113,66,58.41,49,46,93.88,71,57,80.28,58,30,51.72,48,29,60.42,61,44,72.13,3,1,33.33,17,15,88.24,15,15.8,2.84,21.09,17.27,21.59,12.25,Brentford,Newcastle United,1,-1
27,2022-02-19,Arsenal - Brentford 2:1,Brentford,3-5-2,1,0.68,4,2,50.0,274,213,77.74,30.3,103,43,31,29,84,55,21,8,161,84,52.17,3,1,33.33,16,3,18.75,2,0,0.0,15,1,6.67,0,0,0.0,3,2,66.67,0,0,0,11,1,9.09,2,4,13,3,4,8,38,13,34.21,2,2,20,9,45.0,59,39,66.1,32,18,56.25,2,2,100.0,67,39,5,1,0,115,75,65.22,42,42,100.0,67,59,88.06,29,15,51.72,41,24,58.54,61,36,59.02,1,1,100.0,15,13,86.67,8,18.67,2.88,10.58,20.51,19.43,26.1,Arsenal,Brentford,0,-1
28,2022-02-12,Brentford - Crystal Palace 0:0,Brentford,5-3-2,0,0.68,7,2,28.57,355,263,74.08,43.82,144,26,58,60,113,50,51,12,278,151,54.32,1,0,0.0,22,5,22.73,1,0,0.0,17,2,11.76,3,1,33.33,2,0,0.0,0,0,0,17,6,35.29,7,5,20,5,8,22,76,36,47.37,0,0,6,3,50.0,115,76,66.09,41,21,51.22,5,3,60.0,68,30,10,1,0,145,84,57.93,52,49,94.23,102,88,86.27,65,36,55.38,61,35,57.38,65,43,66.15,3,3,100.0,19,18,94.74,4,16.28,3.78,18.31,15.81,21.4,7.68,Brentford,Crystal Palace,1,0
29,2022-02-09,Manchester City - Brentford 2:0,Brentford,5-3-2,0,0.38,5,2,40.0,223,152,68.16,23.69,97,32,37,28,80,40,32,8,167,70,41.92,2,0,0.0,9,2,22.22,2,1,50.0,19,2,10.53,3,2,66.67,0,0,0.0,0,0,0,5,2,40.0,1,3,8,2,2,8,35,11,31.43,10,2,15,7,46.67,63,35,55.56,43,14,32.56,3,1,33.33,57,26,13,0,0,101,54,53.47,32,29,90.63,48,41,85.42,43,19,44.19,30,13,43.33,52,21,40.38,4,2,50.0,14,12,85.71,8,17.9,2.48,19.28,21.15,18.3,18.26,Manchester City,Brentford,0,-1
