,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
20,20,2022-04-16,5,1,1.05,10,4,40.0,490,429,87.55,54.18,94,14,35,45,91,36,41,14,173,83,47.98,4,2,50.0,36,6,16.67,2,1,50.0,22,3,13.64,4,2,50.0,2,0,0.0,0,0,0,17,5,29.41,5,4,20,2,8,19,63,27,42.86,3,0,6,1,16.67,60,35,58.33,35,13,37.14,4,3,75.0,45,5,10,3,0,150,114,76.0,91,90,98.9,191,175,91.62,51,27,52.94,61,44,72.13,67,53,79.1,2,1,50.0,17,15,88.24,3,16.31,4.95,10.41,17.49,21.22,11.69,0,1
21,21,2022-04-09,5,2,0.48,7,3,42.86,270,214,79.26,34.99,99,37,31,31,83,44,31,8,180,97,53.89,5,1,20.0,17,5,29.41,0,0,0.0,19,2,10.53,2,1,50.0,1,0,0.0,0,0,0,8,0,0.0,0,6,10,0,3,6,55,29,52.73,2,1,16,3,18.75,65,40,61.54,25,14,56.0,0,0,0.0,51,24,19,4,0,105,67,63.81,51,49,96.08,70,63,90.0,44,16,36.36,29,14,48.28,43,28,65.12,1,1,100.0,18,12,66.67,4,15.77,3.25,16.3,22.42,19.99,11.65,0,1
22,22,2022-04-02,5,0,3.64,28,5,17.86,473,391,82.66,59.91,131,14,31,86,86,12,45,29,171,88,51.46,14,3,21.43,54,18,33.33,2,1,50.0,28,7,25.0,11,6,54.55,3,0,0.0,1,0,0,31,10,32.26,7,19,44,7,21,42,64,36,56.25,1,0,5,0,0.0,39,23,58.97,40,17,42.5,4,1,25.0,31,12,12,1,0,157,121,77.07,74,70,94.59,166,144,86.75,36,21,58.33,66,56,84.85,94,75,79.79,3,3,100.0,30,27,90.0,6,18.04,3.78,7.61,17.97,19.09,7.45,1,0
23,23,2022-03-16,2,0,0.93,13,0,0.0,483,412,85.3,48.69,95,12,37,46,91,27,37,27,192,89,46.35,6,0,0.0,40,8,20.0,1,1,100.0,21,4,19.05,6,3,50.0,2,0,0.0,0,0,0,19,4,21.05,3,9,25,3,10,18,60,23,38.33,3,2,17,7,41.18,68,40,58.82,31,12,38.71,3,0,0.0,34,12,11,2,0,131,99,75.57,85,79,92.94,191,171,89.53,33,18,54.55,50,41,82.0,61,48,78.69,4,2,50.0,16,14,87.5,7,17.77,4.93,6.83,17.37,19.4,8.24,1,-1
24,24,2022-03-12,6,0,0.54,8,3,37.5,411,330,80.29,54.67,118,18,47,53,79,29,32,18,165,76,46.06,4,1,25.0,26,7,26.92,1,0,0.0,26,1,3.85,7,0,0.0,1,0,0.0,0,0,0,13,3,23.08,3,4,18,2,4,12,58,25,43.1,1,2,17,8,47.06,52,32,61.54,22,8,36.36,0,0,0.0,42,11,12,3,0,127,83,65.35,70,68,97.14,148,132,89.19,61,29,47.54,29,16,55.17,68,39,57.35,3,1,33.33,27,26,96.3,7,16.06,3.84,14.84,18.23,20.87,8.17,1,-1
25,25,2022-03-05,13,1,1.55,13,4,30.77,625,530,84.8,64.25,134,16,50,68,112,30,60,22,236,123,52.12,5,0,0.0,40,7,17.5,2,1,50.0,20,5,25.0,7,4,57.14,4,1,25.0,0,0,0,22,7,31.82,6,13,33,0,13,23,59,25,42.37,4,2,10,4,40.0,51,33,64.71,58,34,58.62,3,1,33.33,48,12,10,1,0,191,143,74.87,103,95,92.23,258,229,88.76,67,35,52.24,80,63,78.75,82,62,75.61,6,2,33.33,23,19,82.61,5,18.49,5.53,10.72,15.19,19.46,5.18,0,-1
26,26,2022-02-26,5,0,0.95,10,1,10.0,554,485,87.55,65.59,99,12,28,59,72,27,28,17,179,92,51.4,6,1,16.67,31,6,19.35,2,1,50.0,22,3,13.64,7,2,28.57,0,0,0.0,0,0,0,23,10,43.48,9,10,33,3,15,23,67,32,47.76,0,2,9,4,44.44,63,35,55.56,23,11,47.83,2,1,50.0,19,9,17,4,0,165,131,79.39,86,78,90.7,237,222,93.67,35,16,45.71,59,41,69.49,54,47,87.04,2,1,50.0,23,20,86.96,6,16.89,6.09,6.32,18.2,19.4,8.74,1,-1
27,27,2022-02-19,3,0,0.79,9,1,11.11,576,489,84.9,68.78,115,27,30,58,78,28,32,18,215,97,45.12,5,1,20.0,41,7,17.07,1,0,0.0,23,2,8.7,4,0,0.0,4,1,25.0,0,0,0,26,8,30.77,7,9,26,3,14,17,67,25,37.31,1,3,9,4,44.44,54,35,64.81,39,16,41.03,1,1,100.0,38,18,12,1,0,168,130,77.38,101,93,92.08,228,208,91.23,47,28,59.57,60,45,75.0,85,61,71.76,2,0,0.0,22,20,90.91,4,17.36,5.38,8.16,19.26,20.94,6.08,1,-1
28,28,2022-02-15,6,0,0.76,10,3,30.0,514,442,85.99,53.69,116,31,36,49,95,46,33,16,168,71,42.26,5,0,0.0,26,8,30.77,0,0,0.0,14,2,14.29,2,1,50.0,1,0,0.0,0,0,0,17,7,41.18,7,5,26,1,13,16,56,18,32.14,0,2,20,7,35.0,63,37,58.73,21,6,28.57,0,0,0.0,67,19,10,1,1,146,112,76.71,89,84,94.38,191,169,88.48,43,25,58.14,44,30,68.18,68,47,69.12,7,2,28.57,21,17,80.95,5,17.11,4.85,8.37,18.4,18.4,8.82,0,-1
29,29,2022-02-12,5,2,2.53,12,5,41.67,566,469,82.86,64.24,125,19,47,59,107,40,45,22,214,122,57.01,1,1,100.0,30,9,30.0,1,0,0.0,27,3,11.11,5,2,40.0,2,2,100.0,0,0,0,14,5,35.71,5,5,17,3,8,24,73,26,35.62,0,0,9,2,22.22,72,53,73.61,41,27,65.85,5,3,60.0,40,19,9,2,0,167,109,65.27,92,81,88.04,211,194,91.94,47,16,34.04,72,50,69.44,72,52,72.22,2,1,50.0,22,21,95.45,6,17.05,4.72,8.3,13.34,17.94,6.0,0,1
