,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
20,2018-12-22,3-4-1-2,1,1.04,14,4,28.57,505,409,80.99,61.59,124,10,54,60,109,40,55,14,219,108,49.32,8,2,25.0,31,12,38.71,5,1,20.0,24,1,4.17,8,1,12.5,2,0,0.0,0,0,0,25,7,28.0,6,10,26,0,16,15,51,23,45.1,3,3,12,6,50.0,57,33,57.89,60,34,56.67,9,6,66.67,43,4,11,2,0,199,150,75.38,78,73,93.59,158,139,87.97,76,50,65.79,66,41,62.12,98,74,75.51,4,1,25.0,24,20,83.33,7,16.78,4.24,15.05,22.71,21.02,5.95,1,-1
21,2018-12-15,3-5-1-1,0,1.15,14,5,35.71,620,527,85.0,71.1,128,8,41,79,105,30,45,30,301,151,50.17,5,4,80.0,56,6,10.71,4,1,25.0,27,6,22.22,10,3,30.0,7,1,14.29,0,0,0,34,14,41.18,14,11,39,2,24,23,105,38,36.19,2,1,7,5,71.43,68,51,75.0,64,34,53.13,3,1,33.33,34,4,6,1,0,202,162,80.2,102,95,93.14,218,187,85.78,74,50,67.57,95,81,85.26,112,100,89.29,10,5,50.0,31,29,93.55,3,17.69,4.92,11.94,18.06,20.48,6.13,1,-1
22,2018-12-08,4-3-1-2,0,0.61,3,0,0.0,283,209,73.85,35.35,111,15,50,46,84,40,37,7,232,121,52.16,0,0,0.0,22,1,4.55,2,1,50.0,23,1,4.35,1,0,0.0,3,0,0.0,0,0,0,10,5,50.0,5,5,15,2,6,9,50,18,36.0,0,1,11,3,27.27,78,49,62.82,48,26,54.17,8,2,25.0,54,21,20,4,0,119,70,58.82,52,45,86.54,73,65,89.04,48,29,60.42,40,26,65.0,55,40,72.73,7,2,28.57,17,14,82.35,9,16.65,2.92,16.96,12.49,20.18,9.59,0,1
23,2018-12-04,4-4-1-1,1,1.31,17,6,35.29,603,500,82.92,66.6,131,11,29,91,101,34,36,31,222,126,56.76,7,2,28.57,51,12,23.53,2,1,50.0,27,3,11.11,8,3,37.5,4,0,0.0,0,0,0,39,14,35.9,14,6,43,0,31,21,54,20,37.04,0,2,7,3,42.86,59,40,67.8,75,46,61.33,4,1,25.0,32,2,12,2,0,204,154,75.49,88,86,97.73,218,186,85.32,49,28,57.14,97,71,73.2,111,93,83.78,0,0,0.0,31,28,90.32,5,17.09,5.15,8.13,19.83,19.85,5.97,0,1
24,2018-12-01,3-5-2,1,0.73,6,2,33.33,245,189,77.14,31.35,96,19,32,45,65,29,25,11,195,72,36.92,1,1,100.0,21,5,23.81,0,0,0.0,23,0,0.0,2,0,0.0,4,0,0.0,0,0,0,10,1,10.0,2,1,11,0,7,9,43,16,37.21,1,2,14,6,42.86,52,25,48.08,54,15,27.78,5,3,60.0,47,15,11,0,1,100,68,68.0,42,37,88.1,81,66,81.48,41,24,58.54,44,32,72.73,59,40,67.8,5,4,80.0,26,21,80.77,10,16.24,2.45,16.73,15.69,23.2,12.93,1,-1
25,2018-11-25,3-5-1-1,2,1.09,14,6,42.86,533,448,84.05,56.69,111,22,49,40,95,30,59,6,241,132,54.77,9,3,33.33,47,10,21.28,0,0,0.0,20,3,15.0,5,3,60.0,3,0,0.0,0,0,0,16,5,31.25,5,7,18,1,8,13,65,20,30.77,1,0,10,3,30.0,87,67,77.01,49,27,55.1,10,8,80.0,46,19,8,2,0,193,144,74.61,102,98,96.08,166,148,89.16,75,45,60.0,63,43,68.25,96,71,73.96,4,3,75.0,19,17,89.47,5,17.19,4.56,14.07,21.55,20.52,8.08,0,-1
26,2018-11-10,3-5-1-1,1,1.27,15,7,46.67,329,259,78.72,40.61,104,22,33,49,83,39,31,13,251,122,48.61,9,3,33.33,31,10,32.26,2,0,0.0,24,4,16.67,5,2,40.0,1,0,0.0,0,0,0,12,3,25.0,4,9,20,1,8,14,61,19,31.15,7,1,13,4,30.77,83,46,55.42,42,28,66.67,9,2,22.22,58,18,8,1,0,141,96,68.09,50,45,90.0,80,65,81.25,44,28,63.64,56,39,69.64,76,54,71.05,5,3,60.0,17,13,76.47,11,16.83,3.02,13.37,19.66,21.16,10.33,1,0
27,2018-11-05,3-4-1-2,1,0.55,9,2,22.22,337,250,74.18,47.57,133,11,46,76,97,23,51,23,261,129,49.43,5,2,40.0,40,6,15.0,2,0,0.0,24,2,8.33,5,2,40.0,2,1,50.0,0,0,0,25,3,12.0,3,4,26,2,17,11,59,19,32.2,3,0,6,0,0.0,78,52,66.67,68,29,42.65,11,7,63.64,52,27,10,1,0,135,95,70.37,60,55,91.67,81,56,69.14,56,31,55.36,44,22,50.0,56,47,83.93,5,2,40.0,24,23,95.83,9,15.34,2.67,16.62,20.06,20.92,5.25,1,1
28,2018-10-27,4-4-1-1,0,0.75,13,6,46.15,474,391,82.49,52.76,101,13,49,39,80,31,39,10,251,118,47.01,4,2,50.0,26,6,23.08,7,2,28.57,19,5,26.32,3,2,66.67,0,0,0.0,0,0,0,13,5,38.46,5,4,14,0,6,16,68,21,30.88,4,3,12,6,50.0,95,55,57.89,44,18,40.91,8,4,50.0,52,15,13,2,0,152,107,70.39,72,66,91.67,207,183,88.41,72,38,52.78,75,51,68.0,85,63,74.12,2,0,0.0,26,23,88.46,4,17.8,4.6,15.19,20.38,21.49,7.87,0,1
29,2018-10-20,3-5-1-1,0,1.18,11,1,9.09,519,424,81.7,49.97,136,23,49,64,91,42,33,16,180,95,52.78,5,0,0.0,31,6,19.35,4,3,75.0,15,1,6.67,2,0,0.0,2,0,0.0,0,0,0,25,9,36.0,8,4,31,3,18,17,36,11,30.56,3,1,12,2,16.67,66,45,68.18,45,22,48.89,5,2,40.0,43,20,9,0,0,193,145,75.13,80,72,90.0,189,166,87.83,56,30,53.57,60,33,55.0,89,66,74.16,2,0,0.0,27,18,66.67,6,17.73,4.47,10.79,18.57,20.54,14.88,1,-1
30,2018-10-06,4-2-3-1,1,1.3,18,2,11.11,569,476,83.66,70.35,115,13,32,70,98,41,30,27,208,97,46.63,9,1,11.11,44,13,29.55,4,2,50.0,21,3,14.29,10,3,30.0,1,0,0.0,0,0,0,35,12,34.29,13,3,36,2,23,18,52,18,34.62,0,1,5,3,60.0,45,27,60.0,58,24,41.38,1,0,0.0,29,9,10,2,0,212,158,74.53,88,86,97.73,192,169,88.02,53,26,49.06,72,46,63.89,94,74,78.72,2,2,100.0,33,27,81.82,0,15.78,4.78,9.31,19.96,20.13,8.0,0,0
31,2018-09-29,3-5-2,0,0.8,9,5,55.56,396,319,80.56,53.54,121,10,49,62,103,37,46,20,284,132,46.48,5,3,60.0,39,5,12.82,1,0,0.0,24,2,8.33,3,0,0.0,8,1,12.5,0,0,0,13,6,46.15,6,3,18,0,11,6,63,30,47.62,1,2,9,6,66.67,81,48,59.26,74,28,37.84,11,8,72.73,33,12,17,2,0,162,119,73.46,66,58,87.88,120,99,82.5,64,45,70.31,53,40,75.47,89,68,76.4,6,5,83.33,31,28,90.32,7,15.86,3.3,16.16,21.5,21.07,8.0,1,-1
32,2018-09-22,5-4-1,1,0.63,8,2,25.0,314,252,80.25,40.67,112,17,44,51,68,24,30,14,198,79,39.9,3,0,0.0,27,8,29.63,3,0,0.0,20,0,0.0,1,0,0.0,1,0,0.0,0,0,0,12,4,33.33,4,3,11,3,7,10,65,20,30.77,0,3,16,7,43.75,47,27,57.45,47,17,36.17,13,7,53.85,35,14,16,1,0,104,72,69.23,55,52,94.55,107,94,87.85,51,30,58.82,35,24,68.57,61,39,63.93,1,0,0.0,27,25,92.59,9,15.07,3.11,16.24,19.71,20.32,14.43,0,1
33,2018-09-15,3-4-3,0,1.29,14,1,7.14,463,388,83.8,58.43,97,7,27,63,67,24,25,18,223,108,48.43,6,0,0.0,31,10,32.26,0,0,0.0,30,3,10.0,5,1,20.0,5,1,20.0,0,0,0,24,14,58.33,11,4,29,3,19,22,64,24,37.5,5,1,7,2,28.57,69,42,60.87,48,25,52.08,10,6,60.0,30,8,11,1,0,148,110,74.32,79,68,86.08,180,161,89.44,65,39,60.0,62,41,66.13,77,65,84.42,2,0,0.0,28,25,89.29,7,15.98,4.63,14.04,18.21,21.14,7.26,1,-1
34,2018-09-01,5-4-1,1,0.74,10,7,70.0,325,256,78.77,42.9,106,20,43,43,92,43,35,14,304,147,48.36,5,3,60.0,22,3,13.64,9,2,22.22,24,5,20.83,3,2,66.67,2,1,50.0,0,0,0,16,4,25.0,7,4,17,1,12,11,68,26,38.24,0,1,10,1,10.0,85,55,64.71,71,33,46.48,11,8,72.73,44,24,14,3,0,111,86,77.48,59,52,88.14,92,75,81.52,44,25,56.82,32,18,56.25,61,34,55.74,2,0,0.0,30,26,86.67,11,16.56,2.83,13.54,20.24,18.67,9.67,0,0
35,2018-08-25,4-2-3-1,0,0.37,5,1,20.0,386,304,78.76,62.68,132,24,41,67,83,36,32,15,253,125,49.41,2,0,0.0,21,2,9.52,2,0,0.0,26,3,11.54,7,1,14.29,0,0,0.0,0,0,0,21,4,19.05,4,0,21,2,15,7,69,21,30.43,1,0,14,5,35.71,66,49,74.24,71,33,46.48,7,5,71.43,44,20,8,0,1,138,96,69.57,62,60,96.77,130,104,80.0,50,25,50.0,59,34,57.63,55,43,78.18,5,2,40.0,25,21,84.0,11,11.96,3.75,12.95,18.12,20.9,5.96,1,0
36,2018-08-19,4-4-1-1,1,0.55,5,1,20.0,185,136,73.51,26.5,95,36,25,34,52,31,17,4,177,90,50.85,3,0,0.0,18,3,16.67,1,0,0.0,22,2,9.09,3,1,33.33,2,1,50.0,0,0,0,7,2,28.57,2,3,6,1,3,9,34,18,52.94,1,6,33,14,42.42,69,40,57.97,41,15,36.59,13,8,61.54,59,31,5,2,0,76,53,69.74,36,29,80.56,37,29,78.38,43,29,67.44,26,18,69.23,59,40,67.8,1,0,0.0,11,10,90.91,12,13.11,1.99,23.24,16.63,21.3,22.13,0,1
37,2018-08-11,3-5-2,0,0.43,6,2,33.33,364,281,77.2,41.09,104,11,34,59,88,32,37,19,234,125,53.42,2,1,50.0,26,5,19.23,2,0,0.0,15,1,6.67,2,1,50.0,4,0,0.0,0,0,0,19,6,31.58,6,3,25,1,17,8,45,17,37.78,2,3,11,4,36.36,96,63,65.63,44,23,52.27,9,5,55.56,37,5,10,2,0,135,85,62.96,55,51,92.73,123,100,81.3,75,36,48.0,62,26,41.94,69,55,79.71,0,0,0.0,23,23,100.0,5,15.18,3.5,20.6,18.16,23.81,11.08,1,-1
