,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
22,22,2022-04-09,12,4,1.15,12,4,33.33,425,373,87.76,49.71,94,45,24,25,62,42,12,8,180,87,48.33,4,0,0.0,16,5,31.25,3,0,0.0,24,7,29.17,3,2,66.67,0,0,0.0,0,0,0,4,2,50.0,2,5,11,5,2,13,62,31,50.0,2,0,19,8,42.11,72,41,56.94,23,7,30.43,4,0,0.0,52,25,14,3,0,127,95,74.8,69,63,91.3,163,155,95.09,39,22,56.41,39,24,61.54,48,30,62.5,3,0,0.0,11,11,100.0,9,16.94,5.0,9.18,18.43,18.65,14.35,0,1
23,23,2022-04-03,12,5,2.57,19,6,31.58,598,542,90.64,61.35,80,19,26,35,68,24,22,22,122,57,46.72,7,1,14.29,22,10,45.45,1,1,100.0,18,7,38.89,2,2,100.0,3,0,0.0,0,0,0,12,5,41.67,5,7,35,7,10,23,41,22,53.66,0,1,7,1,14.29,38,17,44.74,21,6,28.57,1,1,100.0,29,15,10,2,0,140,110,78.57,81,79,97.53,305,289,94.75,42,25,59.52,48,35,72.92,59,46,77.97,2,0,0.0,10,8,80.0,5,18.61,8.54,7.02,16.91,18.78,13.56,1,1
24,24,2022-03-20,12,3,2.4,17,4,23.53,588,531,90.31,52.82,70,11,18,41,62,27,25,10,158,85,53.8,6,0,0.0,31,13,41.94,3,2,66.67,16,2,12.5,5,0,0.0,1,1,100.0,0,0,0,14,4,28.57,5,7,31,12,9,24,48,19,39.58,1,1,5,1,20.0,63,44,69.84,27,13,48.15,3,2,66.67,24,10,7,0,0,155,128,82.58,84,82,97.62,280,258,92.14,27,14,51.85,76,60,78.95,81,69,85.19,7,5,71.43,12,11,91.67,6,18.69,7.35,4.59,18.87,19.73,14.12,1,1
25,25,2022-03-16,11,2,1.99,17,7,41.18,523,470,89.87,51.31,88,34,35,19,83,39,34,10,192,97,50.52,7,2,28.57,24,11,45.83,6,4,66.67,21,2,9.52,3,0,0.0,1,0,0.0,0,0,0,8,2,25.0,2,7,26,10,4,17,68,28,41.18,1,0,13,0,0.0,60,37,61.67,31,16,51.61,4,2,50.0,49,24,9,2,0,143,111,77.62,72,71,98.61,209,198,94.74,29,19,65.52,38,26,68.42,53,31,58.49,13,5,38.46,15,14,93.33,4,18.25,5.18,5.54,18.93,17.01,11.0,0,1
26,26,2022-03-12,1,2,1.5,10,3,30.0,563,490,87.03,57.88,84,8,27,49,75,25,35,15,156,79,50.64,3,1,33.33,40,6,15.0,0,0,0.0,17,2,11.76,5,1,20.0,3,0,0.0,1,1,100,23,4,17.39,7,10,34,6,15,25,65,31,47.69,2,3,10,6,60.0,52,32,61.54,24,10,41.67,3,3,100.0,32,6,7,1,0,150,120,80.0,88,83,94.32,236,215,91.1,39,22,56.41,56,44,78.57,63,49,77.78,7,3,42.86,17,17,100.0,4,17.77,6.12,6.93,17.43,18.13,11.79,0,-1
27,27,2022-03-07,1,5,1.88,13,7,53.85,626,557,88.98,51.42,102,25,40,37,79,44,29,6,181,87,48.07,2,1,50.0,23,7,30.43,3,2,66.67,21,4,19.05,5,1,20.0,1,1,100.0,0,0,0,12,3,25.0,4,12,24,6,6,21,73,27,36.99,0,0,6,0,0.0,75,45,60.0,21,13,61.9,5,4,80.0,35,11,15,2,0,162,123,75.93,82,80,97.56,275,256,93.09,42,22,52.38,43,37,86.05,61,38,62.3,5,4,80.0,12,12,100.0,5,20.1,6.73,6.71,15.1,17.02,10.96,1,1
28,28,2022-02-26,12,4,2.18,13,10,76.92,429,382,89.04,51.44,89,39,25,25,59,37,14,8,163,73,44.79,2,2,100.0,16,9,56.25,5,1,20.0,34,4,11.76,6,0,0.0,0,0,0.0,0,0,0,5,3,60.0,3,9,20,8,3,21,86,44,51.16,3,0,17,3,17.65,44,19,43.18,13,3,23.08,7,2,28.57,60,27,11,2,0,131,107,81.68,78,72,92.31,155,147,94.84,29,18,62.07,41,30,73.17,69,47,68.12,5,5,100.0,10,9,90.0,13,16.69,4.71,6.76,14.95,18.94,12.39,0,1
29,29,2022-02-23,12,0,1.38,12,2,16.67,627,539,85.96,62.52,107,26,34,47,81,34,30,17,223,110,49.33,5,0,0.0,31,7,22.58,2,1,50.0,24,4,16.67,7,0,0.0,1,1,100.0,0,0,0,28,10,35.71,11,15,35,5,9,34,73,30,41.1,2,1,13,4,30.77,73,40,54.79,40,24,60.0,1,1,100.0,29,12,8,0,0,170,123,72.35,102,97,95.1,238,221,92.86,41,22,53.66,60,48,80.0,78,55,70.51,0,0,0.0,26,26,100.0,6,18.02,6.27,6.54,18.37,18.32,19.7,0,-1
30,30,2022-02-19,1,3,1.18,6,5,83.33,293,236,80.55,29.87,94,40,40,14,75,55,18,2,166,68,40.96,2,1,50.0,6,2,33.33,4,2,50.0,19,3,15.79,0,0,0.0,0,0,0.0,0,0,0,4,2,50.0,3,3,7,2,2,7,50,16,32.0,3,2,19,4,21.05,76,37,48.68,24,10,41.67,7,4,57.14,64,32,7,3,0,96,61,63.54,42,41,97.62,92,81,88.04,45,26,57.78,22,14,63.64,50,23,46.0,8,5,62.5,11,10,90.91,14,16.52,3.37,15.36,15.53,18.52,33.22,0,1
31,31,2022-02-13,12,0,1.81,17,7,41.18,540,455,84.26,55.88,106,10,33,63,105,25,57,23,204,107,52.45,6,1,16.67,35,9,25.71,1,0,0.0,21,6,28.57,7,3,42.86,3,1,33.33,0,0,0,19,4,21.05,2,11,35,5,8,24,75,28,37.33,2,2,12,7,58.33,66,40,60.61,38,27,71.05,6,2,33.33,41,15,13,3,0,153,112,73.2,61,59,96.72,228,203,89.04,29,17,58.62,59,46,77.97,57,46,80.7,10,3,30.0,22,21,95.45,1,17.8,4.78,5.37,17.16,18.77,7.24,1,-1
