,Unnamed: 0.1,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
20,20,20,2021-12-26,2,0,0.07,3,1,33.33,288,228,79.17,38.18,92,19,43,30,75,40,27,8,198,88,44.44,1,0,0.0,16,2,12.5,2,0,0.0,18,1,5.56,3,0,0.0,1,1,100.0,0,0,0,7,1,14.29,1,2,13,2,5,6,50,21,42.0,3,5,16,6,37.5,73,41,56.16,34,8,23.53,4,3,75.0,44,18,13,1,0,112,75,66.96,60,59,98.33,82,71,86.59,51,31,60.78,32,17,53.13,56,37,66.07,2,0,0.0,23,19,82.61,7,15.51,2.94,17.71,21.36,21.51,15.76,1,-1
21,21,21,2021-12-14,4,0,0.48,6,3,50.0,445,370,83.15,53.11,96,31,26,39,70,42,20,8,204,96,47.06,0,0,0.0,23,1,4.35,0,0,0.0,20,5,25.0,7,2,28.57,3,3,100.0,0,0,0,13,3,23.08,2,5,17,0,7,14,48,22,45.83,0,2,15,7,46.67,84,45,53.57,35,14,40.0,7,2,28.57,53,27,12,3,0,137,93,67.88,62,55,88.71,190,180,94.74,55,31,56.36,54,36,66.67,66,45,68.18,8,4,50.0,23,21,91.3,3,16.37,4.73,12.36,13.32,21.38,10.09,1,-1
22,22,22,2021-12-11,4,0,0.96,9,3,33.33,418,335,80.14,49.34,131,25,45,61,86,37,39,10,213,103,48.36,4,1,25.0,21,4,19.05,1,0,0.0,33,5,15.15,8,0,0.0,4,2,50.0,0,0,0,15,4,26.67,4,13,23,0,11,17,84,42,50.0,1,1,13,4,30.77,64,37,57.81,40,13,32.5,3,1,33.33,56,17,6,1,0,139,95,68.35,62,60,96.77,139,120,86.33,50,30,60.0,53,31,58.49,77,50,64.94,4,2,50.0,28,26,92.86,7,16.64,3.63,11.96,16.23,19.41,12.95,1,-1
23,23,23,2021-12-05,7,0,0.68,6,1,16.67,624,556,89.1,57.72,88,11,24,53,67,26,30,11,172,80,46.51,4,0,0.0,36,5,13.89,1,0,0.0,23,1,4.35,4,1,25.0,1,0,0.0,0,0,0,15,7,46.67,7,9,26,5,12,17,56,20,35.71,2,3,16,7,43.75,60,36,60.0,25,11,44.0,3,2,66.67,26,2,5,2,0,185,147,79.46,99,96,96.97,298,279,93.62,54,30,55.56,77,55,71.43,102,86,84.31,2,0,0.0,20,19,95.0,7,18.94,6.43,8.65,20.72,22.48,13.75,0,-1
24,24,24,2021-11-30,4,1,1.02,14,6,42.86,569,499,87.7,65.15,86,9,28,49,86,28,41,17,200,98,49.0,6,2,33.33,40,10,25.0,0,0,0.0,19,3,15.79,5,1,20.0,3,2,66.67,0,0,0,21,7,33.33,7,9,38,7,12,24,54,24,44.44,3,1,9,1,11.11,74,43,58.11,29,13,44.83,2,1,50.0,28,9,11,0,0,168,125,74.4,88,86,97.73,255,238,93.33,39,20,51.28,71,58,81.69,81,67,82.72,17,6,35.29,20,19,95.0,6,17.39,6.12,6.85,19.59,19.65,5.97,0,0
25,25,25,2021-11-27,4,0,1.48,14,3,21.43,435,371,85.29,45.87,78,7,23,48,76,22,35,19,187,88,47.06,6,0,0.0,30,4,13.33,6,2,33.33,21,6,28.57,4,1,25.0,6,1,16.67,0,0,0,15,3,20.0,2,12,30,3,8,24,66,29,43.94,1,0,5,2,40.0,57,34,59.65,19,7,36.84,11,7,63.64,28,8,10,2,0,139,103,74.1,65,59,90.77,160,145,90.63,46,26,56.52,51,38,74.51,68,59,86.76,6,1,16.67,13,12,92.31,7,15.98,4.73,10.57,18.1,19.67,10.85,1,0
26,26,26,2021-11-20,10,2,0.98,8,4,50.0,315,234,74.29,34.34,121,27,48,46,79,32,37,10,225,92,40.89,3,1,33.33,19,4,21.05,2,1,50.0,23,3,13.04,5,2,40.0,1,0,0.0,0,0,0,14,2,14.29,2,3,17,3,8,11,51,13,25.49,0,1,16,5,31.25,82,47,57.32,46,19,41.3,5,2,40.0,52,12,8,3,0,136,84,61.76,62,59,95.16,78,61,78.21,62,31,50.0,41,26,63.41,71,49,69.01,2,1,50.0,19,17,89.47,10,16.23,3.25,19.68,15.73,22.05,11.88,1,1
27,27,27,2021-11-06,6,2,1.82,10,5,50.0,291,231,79.38,39.98,117,38,51,28,100,64,30,6,292,122,41.78,5,3,60.0,19,6,31.58,3,1,33.33,21,1,4.76,2,1,50.0,2,0,0.0,1,1,100,9,5,55.56,6,7,20,8,6,16,69,26,37.68,2,1,14,7,50.0,90,53,58.89,66,20,30.3,2,1,50.0,53,39,13,3,0,121,78,64.46,50,46,92.0,84,75,89.29,55,30,54.55,36,19,52.78,63,44,69.84,8,2,25.0,16,14,87.5,8,14.46,2.8,18.9,20.3,20.17,13.04,0,1
28,28,28,2021-10-31,3,1,0.53,11,2,18.18,277,205,74.01,53.79,117,15,34,68,86,41,35,10,228,111,48.68,9,1,11.11,26,2,7.69,0,0,0.0,31,6,19.35,5,2,40.0,6,2,33.33,0,0,0,12,4,33.33,4,4,15,3,6,10,90,41,45.56,0,2,13,6,46.15,66,40,60.61,44,19,43.18,1,0,0.0,38,7,14,1,0,112,66,58.93,46,41,89.13,91,77,84.62,55,23,41.82,50,19,38.0,49,32,65.31,4,1,25.0,24,21,87.5,3,12.03,2.33,19.86,24.27,23.31,10.0,1,-1
29,29,29,2021-10-23,7,0,0.18,3,1,33.33,332,270,81.33,40.88,85,23,40,22,57,31,23,3,197,100,50.76,2,0,0.0,10,3,30.0,0,0,0.0,24,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0.0,0,1,9,2,2,1,71,25,35.21,0,7,21,14,66.67,76,52,68.42,23,12,52.17,3,1,33.33,36,10,16,3,1,104,69,66.35,61,56,91.8,121,106,87.6,32,15,46.88,25,10,40.0,46,22,47.83,7,1,14.29,14,14,100.0,11,15.96,3.73,9.64,23.05,19.4,18.3,0,-1
30,30,30,2021-10-16,7,0,0.86,15,3,20.0,272,202,74.26,38.41,116,30,39,47,72,36,19,17,214,106,49.53,10,2,20.0,27,9,33.33,5,2,40.0,31,3,9.68,8,2,25.0,7,1,14.29,0,0,0,15,4,26.67,3,8,19,4,8,15,73,34,46.58,0,0,12,4,33.33,57,39,68.42,47,19,40.43,2,2,100.0,45,16,5,3,0,107,64,59.81,41,36,87.8,87,74,85.06,40,23,57.5,33,21,63.64,72,42,58.33,7,3,42.86,23,21,91.3,9,14.45,2.41,14.71,21.0,21.71,23.86,1,0
31,31,31,2021-10-02,7,0,0.49,10,2,20.0,347,260,74.93,45.52,119,34,45,40,87,53,24,10,228,120,52.63,5,2,40.0,24,8,33.33,2,0,0.0,30,0,0.0,5,0,0.0,3,2,66.67,0,0,0,18,3,16.67,4,9,26,4,11,20,60,31,51.67,1,0,13,4,30.77,69,44,63.77,51,24,47.06,7,3,42.86,65,33,3,2,0,136,87,63.97,49,47,95.92,110,87,79.09,57,29,50.88,39,22,56.41,60,36,60.0,4,3,75.0,17,13,76.47,13,16.39,2.97,16.43,21.74,20.42,17.8,0,0
32,32,32,2021-09-25,7,0,0.65,10,2,20.0,467,390,83.51,55.1,99,26,33,40,59,39,11,9,200,101,50.5,6,2,33.33,25,4,16.0,1,1,100.0,22,4,18.18,4,2,50.0,3,1,33.33,0,0,0,11,2,18.18,1,6,19,3,5,12,72,35,48.61,0,2,10,4,40.0,68,38,55.88,25,15,60.0,6,3,50.0,42,16,10,3,0,140,109,77.86,79,73,92.41,180,158,87.78,40,21,52.5,53,37,69.81,67,46,68.66,0,0,0.0,25,23,92.0,5,16.61,4.53,8.57,22.36,20.16,10.82,0,-1
33,33,33,2021-09-18,10,1,0.99,11,4,36.36,341,280,82.11,47.81,84,17,30,37,66,28,31,7,230,117,50.87,5,2,40.0,34,7,20.59,1,0,0.0,23,3,13.04,4,2,50.0,3,0,0.0,0,0,0,14,4,28.57,5,14,29,3,10,26,64,27,42.19,0,3,11,8,72.73,74,47,63.51,36,16,44.44,1,0,0.0,47,19,10,1,0,127,98,77.17,45,42,93.33,105,89,84.76,48,22,45.83,54,39,72.22,82,64,78.05,9,3,33.33,24,20,83.33,4,14.77,3.13,14.08,21.32,22.02,10.52,1,-1
34,34,34,2021-09-11,4,0,0.59,9,1,11.11,384,320,83.33,49.3,105,31,31,43,64,34,22,8,210,106,50.48,4,1,25.0,19,4,21.05,4,1,25.0,26,3,11.54,4,0,0.0,4,1,25.0,0,0,0,15,5,33.33,5,5,21,5,9,14,59,22,37.29,0,1,30,6,20.0,76,50,65.79,37,20,54.05,6,4,66.67,36,23,10,2,0,116,87,75.0,66,60,90.91,155,132,85.16,39,25,64.1,39,27,69.23,68,46,67.65,1,0,0.0,25,22,88.0,15,15.73,3.8,10.16,22.07,19.0,31.88,0,-1
35,35,35,2021-08-28,10,1,1.82,14,5,35.71,353,283,80.17,46.67,96,13,41,42,74,38,24,12,200,88,44.0,8,2,25.0,31,10,32.26,1,1,100.0,28,1,3.57,9,1,11.11,3,0,0.0,1,1,100,16,6,37.5,7,2,20,1,10,9,58,20,34.48,2,2,9,3,33.33,68,39,57.35,34,14,41.18,9,3,33.33,51,26,8,2,0,123,87,70.73,61,52,85.25,126,111,88.1,49,23,46.94,36,22,61.11,57,41,71.93,5,3,60.0,24,20,83.33,10,15.8,3.12,13.88,18.45,21.03,11.33,1,-1
36,36,36,2021-08-21,10,0,0.06,1,0,0.0,326,278,85.28,32.69,74,37,25,12,39,27,10,2,151,76,50.33,0,0,0.0,2,0,0.0,1,1,100.0,23,0,0.0,1,0,0.0,1,0,0.0,0,0,0,5,0,0.0,1,0,9,2,4,4,50,22,44.0,3,5,16,6,37.5,69,45,65.22,15,1,6.67,1,0,0.0,53,29,7,0,0,95,73,76.84,60,57,95.0,109,93,85.32,41,24,58.54,15,9,60.0,40,17,42.5,4,3,75.0,10,8,80.0,9,16.67,4.47,12.58,19.27,18.31,31.18,0,-1
37,37,37,2021-08-14,8,0,0.9,9,2,22.22,501,427,85.23,51.67,109,39,29,41,80,42,31,7,199,103,51.76,5,0,0.0,22,4,18.18,0,0,0.0,26,5,19.23,3,2,66.67,1,1,100.0,0,0,0,17,4,23.53,4,2,21,4,12,13,75,37,49.33,2,3,18,6,33.33,53,31,58.49,25,11,44.0,6,3,50.0,56,31,4,1,0,148,110,74.32,79,73,92.41,190,177,93.16,58,39,67.24,42,24,57.14,68,44,64.71,9,4,44.44,17,17,100.0,8,17.21,4.47,11.58,22.94,20.38,23.93,1,-1
38,38,38,2020-07-26,6,0,0.9,5,4,80.0,210,163,77.62,23.25,87,39,27,21,37,24,12,1,200,88,44.0,3,2,66.67,10,3,30.0,3,2,66.67,24,0,0.0,0,0,0.0,1,0,0.0,0,0,0,5,1,20.0,1,1,10,3,2,10,51,22,43.14,2,5,31,11,35.48,97,46,47.42,18,8,44.44,4,1,25.0,47,20,4,1,0,87,55,63.22,47,44,93.62,49,41,83.67,40,25,62.5,27,13,48.15,44,23,52.27,5,4,80.0,13,12,92.31,23,16.82,2.44,19.05,18.14,20.84,39.75,0,-1
39,39,39,2020-07-18,2,0,0.68,6,2,33.33,307,266,86.64,47.18,87,32,32,23,55,40,12,3,180,76,42.22,1,1,100.0,12,2,16.67,1,0,0.0,33,4,12.12,6,4,66.67,2,0,0.0,0,0,0,3,0,0.0,0,1,4,1,1,6,50,17,34.0,1,2,22,11,50.0,36,20,55.56,53,21,39.62,2,0,0.0,37,18,9,0,2,102,76,74.51,73,71,97.26,87,79,90.8,52,36,69.23,31,22,70.97,53,36,67.92,0,0,0.0,12,12,100.0,17,13.91,3.04,16.94,14.86,20.43,14.33,1,-1
