,Win
5922,-1
5928,0
5958,1
5960,-1
6010,1
6048,1
6078,1
6118,-1
6172,1
6194,-1
6224,1
6282,1
6322,-1
