,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
20,2022-04-19,4-3-3,4,1.92,11,5,45.45,883,796,90.15,72.93,109,7,35,67,92,27,46,19,150,70,46.67,3,1,33.33,30,4,13.33,5,2,40.0,21,5,23.81,9,3,33.33,1,0,0.0,0,0,0,11,2,18.18,2,12,29,6,5,28,59,20,33.9,3,0,3,1,33.33,46,29,63.04,23,12,52.17,0,0,0.0,46,3,3,1,0,245,201,82.04,147,144,97.96,307,294,95.77,46,26,56.52,84,61,72.62,86,73,84.88,19,5,26.32,21,19,90.48,5,20.45,8.92,5.21,15.8,17.19,8.66,1,1
21,2022-04-10,4-3-3,2,1.06,6,3,50.0,436,359,82.34,41.91,107,27,37,43,77,40,28,9,152,78,51.32,2,0,0.0,20,4,20.0,1,0,0.0,23,2,8.7,1,1,100.0,1,1,100.0,0,0,0,7,2,28.57,2,7,22,5,4,12,46,15,32.61,2,2,11,5,45.45,73,44,60.27,18,9,50.0,2,0,0.0,35,23,11,4,0,149,105,70.47,78,73,93.59,153,139,90.85,58,34,58.62,59,33,55.93,76,51,67.11,7,2,28.57,14,13,92.86,10,18.43,4.74,13.3,21.85,19.98,19.67,0,0
22,2022-04-02,4-3-3,2,1.62,17,3,17.65,703,609,86.63,68.07,119,7,42,70,100,32,49,19,228,118,51.75,8,0,0.0,46,11,23.91,0,0,0.0,22,5,22.73,9,2,22.22,3,2,66.67,1,1,100,13,4,30.77,4,13,30,0,8,15,70,29,41.43,1,0,5,2,40.0,60,43,71.67,44,26,59.09,2,0,0.0,30,3,9,1,0,213,160,75.12,103,98,95.15,275,256,93.09,31,16,51.61,92,69,75.0,94,77,81.91,2,0,0.0,26,26,100.0,2,19.73,6.7,4.41,19.03,17.6,6.03,1,1
23,2022-03-16,4-3-3,2,0.91,8,3,37.5,514,430,83.66,46.79,102,21,42,39,94,37,43,14,181,84,46.41,2,0,0.0,26,4,15.38,4,1,25.0,23,3,13.04,6,3,50.0,1,0,0.0,0,0,0,13,3,23.08,3,6,20,6,5,17,55,17,30.91,2,0,8,3,37.5,65,40,61.54,27,14,51.85,6,3,50.0,45,11,9,1,0,165,124,75.15,72,65,90.28,196,175,89.29,53,27,50.94,49,30,61.22,74,50,67.57,5,3,60.0,17,13,76.47,5,20.06,5.47,10.31,15.12,18.31,12.1,0,-1
24,2022-03-12,4-3-3,2,3.08,17,8,47.06,383,313,81.72,45.33,91,21,37,33,83,29,45,9,165,82,49.7,4,2,50.0,28,9,32.14,6,3,50.0,23,4,17.39,5,3,60.0,3,1,33.33,1,1,100,10,4,40.0,5,12,29,5,4,30,52,20,38.46,1,0,8,3,37.5,58,33,56.9,22,12,54.55,1,0,0.0,51,12,15,1,0,139,105,75.54,49,46,93.88,133,114,85.71,45,31,68.89,52,42,80.77,80,60,75.0,2,2,100.0,18,13,72.22,10,18.05,4.07,11.75,14.33,19.97,8.8,0,-1
25,2022-03-05,4-3-3,1,2.47,21,5,23.81,687,604,87.92,66.34,123,14,30,79,87,32,34,21,172,79,45.93,11,3,27.27,42,12,28.57,5,2,40.0,22,6,27.27,4,0,0.0,2,2,100.0,0,0,0,15,5,33.33,4,16,36,8,10,32,69,24,34.78,1,0,11,5,45.45,51,29,56.86,36,21,58.33,1,0,0.0,35,11,7,2,0,225,190,84.44,134,119,88.81,220,203,92.27,48,30,62.5,93,75,80.65,95,82,86.32,8,2,25.0,19,17,89.47,8,18.67,6.54,6.99,19.28,17.94,10.71,1,1
26,2022-02-23,4-3-3,6,4.65,24,15,62.5,650,584,89.85,64.32,93,10,31,52,85,32,40,13,163,83,50.92,7,2,28.57,44,16,36.36,2,2,100.0,23,4,17.39,4,2,50.0,2,1,50.0,2,2,100,6,1,16.67,0,19,39,9,3,33,83,38,45.78,1,0,4,3,75.0,37,22,59.46,9,8,88.89,5,4,80.0,34,7,5,0,0,206,166,80.58,107,103,96.26,245,233,95.1,37,22,59.46,65,50,76.92,98,83,84.69,21,13,61.9,19,17,89.47,2,17.98,5.8,5.69,16.97,19.61,10.2,1,1
27,2022-02-19,4-3-3,3,3.72,28,8,28.57,701,626,89.3,69.04,109,8,28,73,99,25,45,29,188,99,52.66,12,3,25.0,53,23,43.4,2,1,50.0,26,4,15.38,9,3,33.33,2,0,0.0,0,0,0,30,7,23.33,7,20,52,14,18,47,91,44,48.35,1,1,5,2,40.0,45,26,57.78,31,18,58.06,1,0,0.0,31,9,7,0,0,217,184,84.79,102,100,98.04,254,232,91.34,34,22,64.71,86,77,89.53,90,79,87.78,7,3,42.86,11,10,90.91,5,17.42,6.74,4.85,18.05,17.97,7.87,1,1
28,2022-02-13,4-3-3,1,3.3,11,4,36.36,635,531,83.62,65.52,120,11,50,59,93,34,44,15,145,66,45.52,4,1,25.0,25,7,28.0,0,0,0.0,26,4,15.38,8,3,37.5,2,2,100.0,0,0,0,18,3,16.67,6,7,26,0,10,20,36,11,30.56,3,0,7,3,42.86,37,22,59.46,31,11,35.48,2,0,0.0,35,14,6,1,0,220,157,71.36,111,105,94.59,206,189,91.75,64,31,48.44,71,47,66.2,98,72,73.47,1,1,100.0,20,16,80.0,4,19.81,5.29,10.08,14.21,17.82,9.35,0,-1
29,2022-02-10,4-3-3,2,3.51,21,12,57.14,655,555,84.73,65.13,120,8,35,77,114,29,51,34,238,121,50.84,5,2,40.0,40,8,20.0,8,4,50.0,20,9,45.0,7,3,42.86,2,2,100.0,0,0,0,21,5,23.81,5,18,46,10,11,38,79,32,40.51,3,0,4,1,25.0,61,36,59.02,30,18,60.0,1,1,100.0,48,20,11,1,0,216,161,74.54,89,86,96.63,257,232,90.27,51,28,54.9,83,58,69.88,83,66,79.52,7,2,28.57,19,19,100.0,3,18.51,5.9,7.79,15.83,18.38,7.51,1,1
30,2022-01-23,4-3-3,3,1.94,14,6,42.86,537,456,84.92,54.2,121,16,39,66,87,30,37,20,164,72,43.9,6,2,33.33,36,11,30.56,0,0,0.0,24,2,8.33,5,1,20.0,4,0,0.0,1,1,100,20,8,40.0,8,12,30,0,15,23,52,24,46.15,2,1,8,5,62.5,52,25,48.08,39,18,46.15,1,0,0.0,48,10,10,1,0,170,132,77.65,89,83,93.26,218,197,90.37,55,36,65.45,78,59,75.64,95,75,78.95,6,2,33.33,27,22,81.48,5,19.62,4.97,10.24,19.2,20.35,10.55,0,-1
31,2022-01-16,4-3-3,3,3.19,25,13,52.0,691,581,84.08,67.72,137,15,51,71,117,36,57,24,191,103,53.93,9,4,44.44,46,16,34.78,2,1,50.0,26,8,30.77,9,5,55.56,3,1,33.33,0,0,0,24,7,29.17,7,16,41,4,14,35,56,25,44.64,2,0,6,1,16.67,40,26,65.0,43,23,53.49,0,0,0.0,41,5,6,0,0,211,161,76.3,125,119,95.2,233,210,90.13,65,38,58.46,87,69,79.31,103,79,76.7,6,3,50.0,26,23,88.46,4,19.53,6.06,9.41,17.7,18.18,6.27,1,1
32,2022-01-02,4-3-3,2,1.72,9,5,55.56,433,329,75.98,43.93,140,32,52,56,91,43,40,8,205,96,46.83,3,1,33.33,25,6,24.0,3,1,33.33,23,2,8.7,7,2,28.57,0,0,0.0,0,0,0,11,2,18.18,1,6,22,4,6,15,67,28,41.79,3,2,15,6,40.0,67,37,55.22,30,13,43.33,5,3,60.0,50,16,13,2,0,173,111,64.16,62,58,93.55,144,120,83.33,59,24,40.68,66,41,62.12,89,52,58.43,10,4,40.0,26,19,73.08,8,18.43,3.87,13.63,17.54,19.69,11.64,0,0
33,2021-12-28,4-3-3,0,2.94,19,4,21.05,594,483,81.31,64.88,135,11,29,95,100,25,37,38,213,115,53.99,4,1,25.0,49,10,20.41,1,0,0.0,26,8,30.77,12,6,50.0,3,2,66.67,1,0,0,34,10,29.41,9,19,56,7,14,54,76,34,44.74,1,1,4,1,25.0,53,36,67.92,45,19,42.22,1,0,0.0,30,8,11,1,0,175,128,73.14,81,76,93.83,205,178,86.83,57,29,50.88,89,63,70.79,93,79,84.95,11,5,45.45,26,22,84.62,2,17.88,5.45,9.6,14.79,18.32,9.63,0,1
