,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
20,20,2022-04-21,3-5-2,0,0.94,9,2,22.22,460,381,82.83,56.13,108,19,30,59,84,39,30,15,187,93,49.73,1,1,100.0,33,4,12.12,1,0,0.0,26,4,15.38,10,3,30.0,2,0,0.0,0,0,0,18,1,5.56,1,6,26,3,12,14,49,23,46.94,2,2,14,6,42.86,67,45,67.16,34,14,41.18,0,0,0.0,46,21,7,2,0,142,99,69.72,71,70,98.59,182,157,86.26,52,21,40.38,67,42,62.69,76,56,73.68,0,0,0.0,20,18,90.0,7,16.77,4.38,11.3,15.26,19.92,11.0,0,-1
21,21,2022-04-16,5-4-1,1,0.33,8,3,37.5,190,133,70.0,28.92,103,25,33,45,69,39,19,11,183,83,45.36,3,1,33.33,15,2,13.33,1,0,0.0,21,5,23.81,6,3,50.0,2,1,50.0,0,0,0,6,3,50.0,2,3,12,2,3,11,46,13,28.26,2,0,21,6,28.57,75,48,64.0,42,17,40.48,4,3,75.0,47,37,6,2,0,77,42,54.55,31,27,87.1,58,48,82.76,41,16,39.02,31,12,38.71,34,21,61.76,3,0,0.0,14,12,85.71,15,12.34,2.13,21.58,21.07,22.21,17.84,1,1
22,22,2022-04-09,4-4-2,0,0.24,4,1,25.0,272,219,80.51,31.69,96,16,41,39,67,33,25,9,197,71,36.04,2,0,0.0,27,2,7.41,1,0,0.0,19,2,10.53,2,1,50.0,3,0,0.0,0,0,0,11,4,36.36,3,3,16,1,7,9,72,26,36.11,0,6,25,14,56.0,65,24,36.92,28,8,28.57,3,1,33.33,37,12,11,1,0,98,68,69.39,40,37,92.5,91,80,87.91,33,19,57.58,29,17,58.62,50,38,76.0,4,2,50.0,25,23,92.0,8,16.36,2.92,12.13,18.4,20.87,19.7,1,-1
23,23,2022-04-02,4-3-1-2,1,1.58,11,5,45.45,340,250,73.53,48.62,146,20,58,68,116,46,52,18,232,102,43.97,4,2,50.0,31,7,22.58,0,0,0.0,28,3,10.71,7,2,28.57,5,0,0.0,0,0,0,17,7,41.18,8,12,24,3,9,28,92,34,36.96,0,1,13,4,30.77,55,34,61.82,56,25,44.64,2,0,0.0,69,14,7,1,0,145,90,62.07,50,44,88.0,94,79,84.04,65,35,53.85,50,32,64.0,73,51,69.86,1,1,100.0,17,9,52.94,10,14.83,2.98,19.12,17.25,19.77,9.19,0,0
24,24,2022-03-13,4-4-2,1,1.44,12,6,50.0,478,385,80.54,59.14,142,26,42,74,91,39,42,10,258,124,48.06,3,0,0.0,35,4,11.43,4,0,0.0,29,7,24.14,11,2,18.18,7,4,57.14,0,0,0,19,6,31.58,5,5,26,6,7,24,68,29,42.65,0,2,10,5,50.0,67,51,76.12,65,22,33.85,3,1,33.33,38,20,9,3,0,157,109,69.43,69,61,88.41,163,146,89.57,41,25,60.98,73,51,69.86,76,51,67.11,5,3,60.0,32,30,93.75,7,15.94,3.98,8.58,15.0,18.73,6.56,1,-1
25,25,2022-03-10,4-4-2,1,1.16,11,5,45.45,646,558,86.38,66.24,119,12,43,64,80,28,34,18,224,100,44.64,4,1,25.0,33,6,18.18,3,2,66.67,23,3,13.04,12,2,16.67,1,0,0.0,0,0,0,21,5,23.81,7,8,32,7,12,22,85,34,40.0,1,2,8,3,37.5,53,36,67.92,35,18,51.43,8,2,25.0,33,16,6,1,0,189,137,72.49,119,115,96.64,233,214,91.85,61,37,60.66,77,62,80.52,74,56,75.68,9,3,33.33,19,18,94.74,4,17.61,6.33,9.44,16.97,17.74,8.0,1,-1
26,26,2022-03-05,4-4-2,0,0.74,11,1,9.09,561,478,85.2,63.86,100,10,34,56,86,25,41,20,200,89,44.5,6,0,0.0,42,9,21.43,2,0,0.0,21,1,4.76,7,2,28.57,2,0,0.0,0,0,0,14,5,35.71,5,4,21,4,9,16,79,32,40.51,1,4,14,9,64.29,57,25,43.86,27,14,51.85,2,2,100.0,40,7,8,1,0,181,136,75.14,101,95,94.06,205,187,91.22,62,38,61.29,77,52,67.53,88,71,80.68,2,1,50.0,19,17,89.47,4,17.58,5.34,11.05,20.82,20.02,7.44,0,-1
27,27,2022-02-25,4-4-2,2,2.09,21,9,42.86,483,410,84.89,57.19,107,18,33,56,89,28,31,30,214,98,45.79,9,3,33.33,40,14,35.0,2,1,50.0,25,5,20.0,13,4,30.77,2,0,0.0,0,0,0,24,10,41.67,9,13,40,14,11,35,73,25,34.25,2,0,7,1,14.29,61,44,72.13,57,21,36.84,1,1,100.0,41,22,11,1,0,144,104,72.22,105,100,95.24,157,143,91.08,42,22,52.38,52,37,71.15,67,49,73.13,8,6,75.0,26,21,80.77,5,16.97,4.51,8.7,20.11,18.44,6.91,1,1
28,28,2022-02-19,4-4-2,2,2.89,20,11,55.0,486,400,82.3,53.29,127,27,45,55,106,46,46,14,268,120,44.78,4,2,50.0,38,15,39.47,4,1,25.0,21,3,14.29,4,2,50.0,3,1,33.33,0,0,0,11,5,45.45,4,10,28,12,5,28,108,33,30.56,3,0,9,0,0.0,75,45,60.0,38,22,57.89,4,2,50.0,66,17,6,0,0,170,124,72.94,83,80,96.39,159,141,88.68,53,26,49.06,61,37,60.66,93,66,70.97,5,2,40.0,12,11,91.67,6,17.8,4.58,10.91,16.29,19.39,6.82,1,1
29,29,2022-02-12,4-4-2,1,1.03,14,4,28.57,411,352,85.64,48.49,86,17,31,38,77,40,27,10,183,89,48.63,8,1,12.5,21,8,38.1,3,2,66.67,29,4,13.79,4,1,25.0,1,0,0.0,0,0,0,6,1,16.67,0,5,13,7,1,16,63,26,41.27,1,1,9,7,77.78,54,36,66.67,29,10,34.48,6,3,50.0,32,14,13,0,0,132,97,73.48,73,66,90.41,130,120,92.31,40,25,62.5,47,29,61.7,61,43,70.49,1,1,100.0,18,16,88.89,7,17.24,4.11,9.73,20.15,16.99,15.0,0,0
30,30,2022-02-09,4-4-2,3,2.22,20,8,40.0,454,396,87.22,53.01,103,16,22,65,85,32,30,23,219,80,36.53,8,1,12.5,36,14,38.89,1,0,0.0,22,6,27.27,8,4,50.0,1,0,0.0,0,0,0,20,9,45.0,9,3,31,6,16,25,64,21,32.81,1,2,7,4,57.14,61,33,54.1,51,14,27.45,2,0,0.0,36,12,13,3,0,127,96,75.59,82,78,95.12,159,142,89.31,42,26,61.9,60,45,75.0,55,45,81.82,0,0,0.0,19,17,89.47,4,17.92,4.41,9.25,17.55,17.63,9.6,0,1
31,31,2022-01-22,4-4-2,1,1.17,7,2,28.57,262,194,74.05,29.8,122,47,44,31,80,51,20,9,199,84,42.21,1,0,0.0,13,4,30.77,0,0,0.0,16,3,18.75,2,2,100.0,1,1,100.0,0,0,0,3,0,0.0,0,2,6,2,0,8,45,10,22.22,2,1,22,5,22.73,101,55,54.46,23,9,39.13,2,0,0.0,74,34,13,3,0,102,61,59.8,41,37,90.24,80,67,83.75,44,19,43.18,35,18,51.43,53,24,45.28,1,0,0.0,12,11,91.67,12,15.06,2.98,16.79,13.85,19.78,20.47,1,0
32,32,2022-01-15,3-5-2,1,1.83,13,9,69.23,403,342,84.86,57.84,106,13,34,59,76,20,42,14,185,79,42.7,5,3,60.0,32,7,21.88,2,0,0.0,27,4,14.81,10,1,10.0,4,0,0.0,0,0,0,18,5,27.78,4,5,24,5,10,19,66,24,36.36,0,3,9,5,55.56,47,22,46.81,34,18,52.94,0,0,0.0,27,14,14,3,0,140,111,79.29,59,56,94.92,138,120,86.96,32,18,56.25,46,35,76.09,56,44,78.57,2,1,50.0,28,22,78.57,3,16.81,3.5,7.94,18.88,16.63,9.95,0,-1
33,33,2022-01-11,3-5-2,4,1.29,12,5,41.67,378,294,77.78,47.91,112,17,36,59,91,33,41,17,186,88,47.31,4,0,0.0,25,4,16.0,5,2,40.0,22,6,27.27,5,3,60.0,1,0,0.0,0,0,0,15,3,20.0,3,2,16,4,6,17,56,22,39.29,0,1,5,4,80.0,58,37,63.79,41,14,34.15,1,0,0.0,52,29,9,0,0,134,80,59.7,75,72,96.0,107,96,89.72,46,15,32.61,58,33,56.9,55,37,67.27,4,3,75.0,16,13,81.25,8,17.53,3.94,12.17,19.49,19.73,10.81,1,1
34,34,2021-12-28,3-4-3,1,0.56,9,1,11.11,285,205,71.93,37.21,110,20,38,52,82,33,33,16,180,80,44.44,4,0,0.0,25,8,32.0,0,0,0.0,15,1,6.67,3,0,0.0,1,0,0.0,0,0,0,10,4,40.0,4,2,18,2,4,9,40,11,27.5,2,1,18,9,50.0,68,34,50.0,40,16,40.0,4,1,25.0,36,15,15,3,1,114,63,55.26,48,45,93.75,80,65,81.25,49,19,38.78,47,28,59.57,49,31,63.27,0,0,0.0,17,12,70.59,7,15.98,2.94,17.19,19.57,20.91,11.08,1,0
35,35,2021-12-26,4-1-4-1,3,1.34,10,6,60.0,348,287,82.47,46.04,123,33,48,42,74,39,25,10,197,98,49.75,6,3,50.0,22,4,18.18,2,0,0.0,28,5,17.86,2,1,50.0,1,1,100.0,1,1,100,7,2,28.57,1,5,10,3,3,9,51,25,49.02,1,2,10,5,50.0,70,45,64.29,55,24,43.64,2,0,0.0,42,23,9,3,0,129,87,67.44,75,71,94.67,97,89,91.75,43,22,51.16,45,31,68.89,57,42,73.68,0,0,0.0,19,16,84.21,17,15.62,3.45,12.36,20.79,19.3,15.41,0,1
36,36,2021-12-15,4-4-2,2,0.6,12,4,33.33,277,201,72.56,42.53,121,10,45,66,106,41,50,15,264,116,43.94,8,2,25.0,31,5,16.13,5,1,20.0,27,5,18.52,6,3,50.0,7,2,28.57,0,0,0,14,2,14.29,3,4,17,7,5,17,72,24,33.33,3,2,9,6,66.67,91,46,50.55,60,28,46.67,6,2,33.33,49,27,20,4,0,120,72,60.0,39,37,94.87,75,56,74.67,50,25,50.0,42,26,61.9,63,42,66.67,4,1,25.0,23,21,91.3,5,15.15,2.43,18.05,21.18,20.5,7.26,0,0
37,37,2021-12-11,4-4-2,0,0.5,11,6,54.55,285,232,81.4,42.46,121,34,47,40,64,21,36,7,206,90,43.69,7,3,42.86,25,5,20.0,1,1,100.0,23,2,8.7,8,2,25.0,4,0,0.0,0,0,0,6,1,16.67,3,1,14,3,5,10,51,12,23.53,1,3,15,5,33.33,73,43,58.9,44,20,45.45,2,1,50.0,48,24,9,0,0,108,70,64.81,47,47,100.0,80,74,92.5,41,20,48.78,38,21,55.26,47,30,63.83,2,0,0.0,21,16,76.19,8,14.89,2.91,14.39,21.98,19.28,12.55,0,-1
38,38,2021-12-04,4-4-2,1,1.69,14,4,28.57,297,206,69.36,45.75,118,20,37,61,98,32,42,24,201,94,46.77,4,0,0.0,28,8,28.57,1,1,100.0,23,4,17.39,6,4,66.67,2,0,0.0,0,0,0,15,6,40.0,7,10,33,8,9,27,71,26,36.62,0,1,12,5,41.67,55,32,58.18,44,20,45.45,2,2,100.0,46,22,15,4,0,130,71,54.62,26,25,96.15,93,75,80.65,45,19,42.22,42,24,57.14,64,41,64.06,3,2,66.67,20,17,85.0,6,16.54,2.68,15.15,17.76,19.97,8.25,1,0
