,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
20,2022-04-17,4-2-3-1,1,2.84,20,7,35.0,497,419,84.31,57.12,104,16,37,51,80,41,28,11,180,87,48.33,5,0,0.0,36,11,30.56,6,3,50.0,29,6,20.69,13,3,23.08,2,2,100.0,0,0,0,30,13,43.33,13,12,41,7,20,34,51,21,41.18,1,1,9,1,11.11,44,27,61.36,49,23,46.94,1,0,0.0,41,16,9,2,0,164,123,75.0,90,87,96.67,177,156,88.14,44,19,43.18,49,36,73.47,64,43,67.19,1,0,0.0,27,25,92.59,6,18.26,4.14,8.85,14.94,19.62,13.46,1,0
21,2022-04-10,4-2-3-1,0,0.22,4,1,25.0,557,467,83.84,55.22,98,18,40,40,69,29,31,9,172,76,44.19,2,0,0.0,26,2,7.69,2,0,0.0,15,2,13.33,6,2,33.33,0,0,0.0,0,0,0,16,4,25.0,5,3,17,2,11,9,49,20,40.82,2,2,14,8,57.14,47,29,61.7,39,13,33.33,2,1,50.0,43,17,6,1,0,173,122,70.52,92,87,94.57,186,171,91.94,52,22,42.31,57,38,66.67,62,35,56.45,3,0,0.0,13,13,100.0,6,18.07,6.05,9.34,20.62,17.56,16.38,0,1
22,2022-04-03,4-2-3-1,2,1.14,11,5,45.45,498,432,86.75,52.27,96,23,32,41,77,49,19,9,169,81,47.93,5,3,60.0,33,7,21.21,1,0,0.0,21,2,9.52,2,0,0.0,3,0,0.0,0,0,0,14,4,28.57,5,7,22,3,10,16,58,21,36.21,1,1,12,2,16.67,47,29,61.7,35,20,57.14,3,1,33.33,50,21,9,1,0,146,112,76.71,75,72,96.0,208,189,90.87,50,28,56.0,54,36,66.67,74,49,66.22,2,2,100.0,15,14,93.33,7,18.14,5.41,10.04,19.88,19.38,13.56,1,1
23,2022-03-20,3-5-2,1,0.53,5,1,20.0,514,470,91.44,47.18,78,17,28,33,67,41,19,7,158,67,42.41,0,0,0.0,31,4,12.9,1,0,0.0,15,1,6.67,3,1,33.33,1,0,0.0,0,0,0,11,6,54.55,6,3,11,0,6,9,63,19,30.16,0,3,17,5,29.41,48,29,60.42,27,12,44.44,3,1,33.33,43,10,6,1,0,139,115,82.73,87,86,98.85,225,212,94.22,38,20,52.63,64,56,87.5,67,52,77.61,2,1,50.0,13,12,92.31,8,18.29,6.43,7.39,12.73,20.29,27.21,0,1
24,2022-03-13,4-2-3-1,2,1.58,11,4,36.36,456,386,84.65,51.64,103,26,22,55,81,40,27,14,164,73,44.51,4,0,0.0,39,8,20.51,2,0,0.0,12,3,25.0,5,2,40.0,0,0,0.0,0,0,0,18,7,38.89,6,12,21,1,9,19,71,19,26.76,1,1,13,6,46.15,52,33,63.46,28,14,50.0,4,2,50.0,50,14,8,1,0,163,123,75.46,76,73,96.05,144,135,93.75,49,31,63.27,58,38,65.52,61,47,77.05,1,0,0.0,18,16,88.89,4,15.93,4.56,10.75,17.06,19.63,13.57,1,1
25,2022-03-05,4-4-1-1,0,1.62,11,5,45.45,311,231,74.28,33.66,123,39,40,44,87,50,27,10,172,88,51.16,3,2,66.67,19,6,31.58,4,3,75.0,21,2,9.52,6,2,33.33,2,0,0.0,0,0,0,11,2,18.18,2,3,17,3,6,13,51,22,43.14,4,1,21,5,23.81,69,45,65.22,36,14,38.89,5,3,60.0,52,21,6,1,0,140,90,64.29,48,44,91.67,69,58,84.06,65,37,56.92,45,26,57.78,88,50,56.82,2,0,0.0,13,13,100.0,9,16.66,2.88,20.9,16.21,20.43,25.2,0,1
26,2022-02-27,4-2-3-1,1,1.61,12,4,33.33,414,329,79.47,39.1,117,30,32,55,96,36,44,16,139,77,55.4,6,1,16.67,33,8,24.24,3,1,33.33,10,2,20.0,3,2,66.67,1,0,0.0,0,0,0,20,5,25.0,4,12,32,3,12,24,45,20,44.44,2,0,13,2,15.38,50,31,62.0,28,16,57.14,6,4,66.67,70,20,8,0,0,149,97,65.1,63,61,96.83,123,106,86.18,50,24,48.0,46,27,58.7,67,45,67.16,10,5,50.0,19,17,89.47,5,18.54,4.1,12.08,17.32,18.8,10.08,1,1
27,2022-02-19,4-4-1-1,1,1.04,10,3,30.0,372,294,79.03,43.75,112,23,47,42,86,42,32,12,195,106,54.36,1,0,0.0,27,5,18.52,4,1,25.0,14,4,28.57,3,2,66.67,2,1,50.0,0,0,0,16,4,25.0,3,5,25,7,9,21,51,27,52.94,2,1,12,3,25.0,48,35,72.92,54,28,51.85,6,1,16.67,46,31,3,3,0,128,84,65.63,54,53,98.15,135,118,87.41,55,28,50.91,51,37,72.55,75,51,68.0,3,2,66.67,22,19,86.36,6,16.41,3.48,14.78,15.55,22.34,12.65,1,0
28,2022-02-13,4-2-3-1,2,0.68,7,3,42.86,398,329,82.66,45.69,115,22,50,43,94,36,41,17,203,91,44.83,2,0,0.0,22,4,18.18,1,0,0.0,21,3,14.29,4,2,50.0,2,0,0.0,0,0,0,17,4,23.53,4,6,23,8,6,18,72,21,29.17,0,2,13,2,15.38,56,29,51.79,41,22,53.66,2,2,100.0,44,19,9,2,0,143,105,73.43,62,60,96.77,122,112,91.8,31,16,51.61,38,26,68.42,49,33,67.35,1,0,0.0,16,10,62.5,10,16.54,4.19,7.79,16.24,17.6,15.92,0,0
29,2022-02-08,4-2-3-1,1,0.75,8,4,50.0,567,489,86.24,59.65,125,20,43,62,94,38,40,16,235,116,49.36,1,1,100.0,46,7,15.22,0,0,0.0,21,1,4.76,5,1,20.0,1,0,0.0,0,0,0,19,7,36.84,6,10,23,1,12,17,64,22,34.38,3,0,6,1,16.67,67,42,62.69,77,40,51.95,4,1,25.0,27,21,1,1,0,193,150,77.72,105,97,92.38,187,169,90.37,65,38,58.46,72,53,73.61,86,64,74.42,4,3,75.0,39,35,89.74,9,17.91,4.85,11.46,16.64,20.18,16.25,1,1
