,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
26,26,2021-11-20,4-4-2,3,1.64,14,9,64.29,284,209,73.59,37.72,103,17,35,51,86,33,45,8,232,119,51.29,6,2,33.33,24,6,25.0,0,0,0.0,22,7,31.82,3,1,33.33,8,4,50.0,0,0,0,16,6,37.5,5,4,21,2,9,12,53,21,39.62,1,3,16,7,43.75,73,44,60.27,56,34,60.71,4,2,50.0,50,19,14,2,0,128,73,57.03,38,35,92.11,88,78,88.64,62,27,43.55,62,31,50.0,61,43,70.49,4,0,0.0,20,19,95.0,5,17.27,3.16,21.83,17.22,22.79,10.06,1,0
27,27,2021-11-06,4-4-2,1,1.08,5,2,40.0,266,206,77.44,31.76,102,33,26,43,63,20,33,10,186,75,40.32,2,0,0.0,18,2,11.11,2,0,0.0,18,3,16.67,2,1,50.0,0,0,0.0,0,0,0,9,4,44.44,4,3,11,0,7,7,36,11,30.56,4,1,24,4,16.67,66,38,57.58,47,19,40.43,8,4,50.0,62,28,9,4,0,97,62,63.92,57,54,94.74,77,63,81.82,45,27,60.0,51,30,58.82,60,41,68.33,2,1,50.0,10,10,100.0,15,15.73,3.28,16.92,16.81,21.12,13.11,0,0
28,28,2021-10-30,4-4-2,3,2.21,14,4,28.57,355,265,74.65,38.92,141,30,46,65,92,35,52,5,214,101,47.2,7,2,28.57,30,6,20.0,4,3,75.0,18,4,22.22,4,3,75.0,2,1,50.0,0,0,0,11,5,45.45,5,5,22,2,10,10,76,36,47.37,3,1,11,5,45.45,50,30,60.0,49,19,38.78,5,2,40.0,77,29,8,1,0,150,94,62.67,67,60,89.55,90,74,82.22,76,39,51.32,74,45,60.81,93,74,79.57,9,3,33.33,22,21,95.45,3,17.9,3.11,21.41,17.65,21.8,10.23,1,1
29,29,2021-10-23,4-4-2,2,0.75,9,4,44.44,264,178,67.42,37.54,107,17,40,50,71,26,35,10,231,114,49.35,5,1,20.0,27,4,14.81,2,1,50.0,21,4,19.05,2,0,0.0,5,1,20.0,0,0,0,14,5,35.71,6,7,24,3,12,15,54,17,31.48,1,2,16,5,31.25,68,43,63.24,41,19,46.34,2,2,100.0,55,17,11,3,0,119,66,55.46,37,33,89.19,58,38,65.52,53,28,52.83,51,25,49.02,68,45,66.18,1,0,0.0,25,24,96.0,11,16.02,2.4,20.08,20.6,20.02,9.71,0,0
30,30,2021-10-16,4-4-2,0,0.85,6,2,33.33,290,222,76.55,28.28,95,21,30,44,67,25,34,8,185,96,51.89,2,1,50.0,20,5,25.0,1,0,0.0,19,1,5.26,2,0,0.0,3,1,33.33,0,0,0,11,4,36.36,4,4,16,0,5,14,52,20,38.46,2,2,17,7,41.18,70,47,67.14,38,17,44.74,3,3,100.0,49,24,6,0,0,106,60,56.6,56,53,94.64,80,69,86.25,62,34,54.84,48,25,52.08,58,41,70.69,4,2,50.0,15,15,100.0,8,17.22,3.09,21.38,16.32,20.7,19.65,0,-1
31,31,2021-10-02,4-4-2,0,1.35,13,3,23.08,459,363,79.08,54.48,116,12,28,76,97,36,38,23,228,98,42.98,4,2,50.0,48,9,18.75,1,1,100.0,15,2,13.33,9,0,0.0,3,0,0.0,0,0,0,34,13,38.24,13,9,41,5,21,25,69,25,36.23,2,0,10,2,20.0,60,29,48.33,51,27,52.94,3,1,33.33,56,18,12,5,0,164,115,70.12,61,54,88.52,168,145,86.31,76,44,57.89,81,48,59.26,84,71,84.52,6,3,50.0,26,25,96.15,4,18.12,3.92,16.56,16.86,21.53,7.0,1,0
32,32,2021-09-25,4-4-2,2,0.58,8,3,37.5,276,207,75.0,36.0,99,26,28,45,69,30,25,14,199,83,41.71,4,1,25.0,21,4,19.05,2,0,0.0,23,3,13.04,3,0,0.0,5,0,0.0,0,0,0,8,4,50.0,4,10,24,1,6,18,54,18,33.33,4,2,20,3,15.0,62,33,53.23,41,16,39.02,3,2,66.67,67,31,8,4,0,110,69,62.73,55,53,96.36,70,58,82.86,60,38,63.33,55,29,52.73,72,52,72.22,3,0,0.0,18,18,100.0,13,15.28,2.53,21.74,19.02,22.15,12.16,0,0
33,33,2021-09-18,4-4-2,0,1.66,17,3,17.65,402,319,79.35,41.16,124,13,35,76,102,27,43,32,234,115,49.15,5,1,20.0,36,10,27.78,2,1,50.0,23,6,26.09,8,2,25.0,1,1,100.0,0,0,0,41,15,36.59,14,9,45,2,30,28,62,28,45.16,4,1,12,3,25.0,57,34,59.65,56,28,50.0,5,4,80.0,43,8,9,2,0,144,105,72.92,52,52,100.0,138,113,81.88,63,40,63.49,73,48,65.75,82,67,81.71,2,1,50.0,22,20,90.91,5,17.75,3.76,15.67,17.26,21.55,10.6,1,-1
34,34,2021-09-13,4-4-2,1,1.35,10,5,50.0,370,277,74.86,48.33,121,25,36,60,88,36,41,11,223,101,45.29,4,3,75.0,39,8,20.51,0,0,0.0,13,2,15.38,6,2,33.33,2,1,50.0,0,0,0,18,8,44.44,8,5,18,0,12,12,54,17,31.48,2,3,12,5,41.67,60,37,61.67,63,32,50.79,3,2,66.67,50,16,6,1,0,149,90,60.4,58,53,91.38,119,105,88.24,66,35,53.03,67,40,59.7,82,57,69.51,3,1,33.33,28,28,100.0,5,18.03,3.43,17.84,16.27,22.05,8.0,0,-1
35,35,2021-08-29,4-4-2,1,2.03,11,3,27.27,257,191,74.32,37.75,125,30,40,55,71,32,25,14,231,110,47.62,3,0,0.0,29,9,31.03,1,0,0.0,23,2,8.7,5,2,40.0,4,0,0.0,0,0,0,14,5,35.71,4,3,19,3,8,14,68,27,39.71,2,1,11,2,18.18,66,36,54.55,50,32,64.0,3,2,66.67,52,25,13,4,0,105,65,61.9,36,35,97.22,70,56,80.0,55,29,52.73,45,25,55.56,59,45,76.27,5,0,0.0,19,16,84.21,9,13.91,2.32,21.4,15.22,22.01,12.68,1,0
36,36,2021-08-21,4-4-2,0,0.96,9,3,33.33,251,181,72.11,37.12,104,18,43,43,49,22,18,9,220,108,49.09,2,0,0.0,30,6,20.0,0,0,0.0,24,3,12.5,4,1,25.0,1,0,0.0,0,0,0,18,8,44.44,8,4,27,4,13,11,60,26,43.33,7,2,25,9,36.0,58,37,63.79,56,23,41.07,7,4,57.14,51,25,12,0,0,96,51,53.13,46,42,91.3,75,60,80.0,45,32,71.11,44,22,50.0,59,43,72.88,2,0,0.0,27,26,96.3,13,14.73,2.46,17.93,16.18,22.49,12.46,0,-1
37,37,2021-08-14,4-4-2,1,1.25,11,3,27.27,263,198,75.29,36.9,104,13,26,65,78,27,37,14,222,90,40.54,6,1,16.67,39,8,20.51,0,0,0.0,17,2,11.76,7,2,28.57,1,0,0.0,0,0,0,30,12,40.0,10,2,32,1,22,7,71,17,23.94,1,2,14,7,50.0,51,31,60.78,67,36,53.73,5,1,20.0,36,16,10,2,0,106,72,67.92,35,31,88.57,85,68,80.0,46,24,52.17,46,24,52.17,67,51,76.12,1,0,0.0,24,22,91.67,4,14.54,2.6,17.49,18.18,23.25,15.28,1,-1
38,38,2021-05-23,4-4-1-1,0,0.51,6,3,50.0,426,351,82.39,52.18,112,27,23,62,111,62,25,24,281,149,53.02,3,2,66.67,32,3,9.38,1,0,0.0,28,3,10.71,9,3,33.33,6,0,0.0,0,0,0,16,5,31.25,4,11,32,0,8,13,63,25,39.68,1,1,12,3,25.0,58,45,77.59,78,39,50.0,4,2,50.0,32,18,1,1,0,143,100,69.93,70,67,95.71,139,124,89.21,76,46,60.53,69,43,62.32,78,65,83.33,4,1,25.0,23,19,82.61,10,16.34,3.74,17.84,17.32,22.25,18.92,0,-1
