,Date,Match,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Home,Win
22,2020-12-29,West Bromwich Albion - Leeds United 0:5,West Bromwich Albion,4-5-1,0,0.76,4,1,25.0,227,169,74.45,27.73,92,17,31,44,61,34,20,7,203,86,42.36,2,0,0.0,26,4,15.38,1,0,0.0,18,0,0.0,3,0,0.0,3,0,0.0,0,0,0,12,2,16.67,2,1,14,1,7,7,50,20,40.0,0,5,11,7,63.64,62,30,48.39,50,17,34.0,1,1,100.0,48,23,7,0,0,101,71,70.3,30,28,93.33,56,39,69.64,40,25,62.5,39,26,66.67,38,27,71.05,5,0,0.0,16,12,75.0,7,14.32,2.36,17.62,18.43,21.75,36.85,West Bromwich Albion,Leeds United,1,-1
23,2020-12-27,Liverpool - West Bromwich Albion 1:1,West Bromwich Albion,4-5-1,1,0.64,5,3,60.0,206,145,70.39,27.57,111,35,45,31,86,57,22,7,212,91,42.92,2,1,50.0,14,2,14.29,6,2,33.33,22,1,4.55,3,1,33.33,1,0,0.0,0,0,0,15,4,26.67,4,4,13,1,8,7,49,20,40.82,4,1,16,2,12.5,71,39,54.93,41,13,31.71,4,2,50.0,69,30,5,1,0,104,67,64.42,31,28,90.32,41,28,68.29,35,18,51.43,36,23,63.89,64,40,62.5,5,1,20.0,15,12,80.0,15,13.41,2.1,16.99,15.75,19.91,20.67,Liverpool,West Bromwich Albion,0,0
24,2020-12-20,West Bromwich Albion - Aston Villa 0:3,West Bromwich Albion,4-1-4-1,0,0.05,1,1,100.0,248,198,79.84,33.93,105,31,35,39,53,23,23,7,239,107,44.77,1,1,100.0,13,0,0.0,1,0,0.0,20,0,0.0,1,0,0.0,4,0,0.0,0,0,0,6,1,16.67,1,0,7,2,4,4,61,22,36.07,1,3,20,10,50.0,98,53,54.08,49,20,40.82,3,1,33.33,54,26,15,1,1,106,76,71.7,43,39,90.7,71,58,81.69,42,26,61.9,36,21,58.33,51,35,68.63,6,0,0.0,11,7,63.64,13,14.29,2.88,16.94,28.48,21.26,15.0,West Bromwich Albion,Aston Villa,1,-1
25,2020-12-15,Manchester City - West Bromwich Albion 1:1,West Bromwich Albion,4-1-4-1,1,0.31,4,1,25.0,195,138,70.77,27.49,111,43,33,35,59,35,16,8,169,74,43.79,2,0,0.0,9,3,33.33,2,0,0.0,23,1,4.35,2,0,0.0,1,1,100.0,0,0,0,4,2,50.0,2,0,4,0,2,4,44,13,29.55,2,1,22,8,36.36,61,33,54.1,37,14,37.84,5,1,20.0,65,35,8,3,0,86,50,58.14,34,30,88.24,41,35,85.37,37,18,48.65,34,14,41.18,39,21,53.85,1,0,0.0,12,11,91.67,16,13.15,2.27,18.97,19.59,19.52,25.31,Manchester City,West Bromwich Albion,0,0
26,2020-12-12,Newcastle United - West Bromwich Albion 2:1,West Bromwich Albion,5-3-2,1,0.74,12,3,25.0,471,390,82.8,50.69,104,14,27,63,72,25,36,11,214,117,54.67,9,2,22.22,45,7,15.56,1,1,100.0,18,3,16.67,3,1,33.33,2,1,50.0,0,0,0,24,4,16.67,5,6,30,2,17,9,60,27,45.0,2,2,10,7,70.0,72,51,70.83,41,22,53.66,5,3,60.0,25,16,12,3,0,149,105,70.47,65,63,96.92,192,171,89.06,36,23,63.89,72,56,77.78,76,59,77.63,4,2,50.0,22,21,95.45,5,18.4,4.66,7.64,21.66,18.81,15.22,Newcastle United,West Bromwich Albion,0,-1
27,2020-12-06,West Bromwich Albion - Crystal Palace 1:5,West Bromwich Albion,3-4-1-2,1,1.34,9,4,44.44,440,393,89.32,49.34,80,16,29,35,48,22,17,9,212,111,52.36,2,1,50.0,27,6,22.22,0,0,0.0,28,3,10.71,4,2,50.0,2,0,0.0,0,0,0,12,6,50.0,6,5,16,2,7,19,73,30,41.1,2,5,17,8,47.06,73,45,61.64,34,19,55.88,0,0,0.0,36,12,10,2,1,134,108,80.6,73,69,94.52,163,152,93.25,38,26,68.42,44,38,86.36,54,45,83.33,5,2,40.0,15,15,100.0,6,17.74,5.06,8.64,15.63,18.38,13.1,West Bromwich Albion,Crystal Palace,1,-1
28,2020-11-28,West Bromwich Albion - Sheffield United 1:0,West Bromwich Albion,3-4-1-2,1,2.16,17,6,35.29,353,287,81.3,44.16,101,22,35,44,73,34,32,7,192,91,47.4,9,3,33.33,26,6,23.08,3,1,33.33,32,8,25.0,14,8,57.14,2,1,50.0,0,0,0,13,3,23.08,2,10,20,4,6,17,49,15,30.61,2,0,20,6,30.0,46,26,56.52,51,28,54.9,3,1,33.33,32,19,10,2,0,132,96,72.73,50,49,98.0,124,108,87.1,38,20,52.63,50,31,62.0,61,46,75.41,3,2,66.67,22,19,86.36,11,18.3,3.04,10.76,17.11,20.59,13.29,West Bromwich Albion,Sheffield United,1,1
29,2020-11-21,Manchester United - West Bromwich Albion 1:0,West Bromwich Albion,5-3-2,0,0.57,7,1,14.29,376,310,82.45,40.39,110,29,41,40,66,37,27,2,224,96,42.86,1,0,0.0,15,4,26.67,3,1,33.33,21,2,9.52,2,2,100.0,0,0,0.0,0,0,0,7,2,28.57,2,4,7,0,2,7,73,29,39.73,1,1,16,7,43.75,97,52,53.61,21,4,19.05,7,0,0.0,66,15,17,1,0,128,93,72.66,50,49,98.0,128,117,91.41,40,24,60.0,50,31,62.0,61,45,73.77,5,3,60.0,19,14,73.68,6,17.54,3.84,10.64,14.92,18.78,10.91,Manchester United,West Bromwich Albion,0,-1
30,2020-11-08,West Bromwich Albion - Tottenham Hotspur 0:1,West Bromwich Albion,5-3-2,0,1.12,11,2,18.18,303,221,72.94,39.69,120,13,57,50,95,33,47,15,255,119,46.67,6,1,16.67,32,6,18.75,1,0,0.0,29,5,17.24,9,2,22.22,6,2,33.33,0,0,0,22,3,13.64,2,5,22,1,11,14,72,29,40.28,1,1,16,5,31.25,74,45,60.81,65,34,52.31,7,2,28.57,44,14,17,1,0,125,81,64.8,49,46,93.88,86,66,76.74,52,29,55.77,40,27,67.5,68,50,73.53,3,1,33.33,20,18,90.0,7,16.39,2.75,17.16,18.93,23.22,13.96,West Bromwich Albion,Tottenham Hotspur,1,-1
31,2020-11-02,Fulham - West Bromwich Albion 2:0,West Bromwich Albion,4-1-4-1,0,0.8,10,1,10.0,451,372,82.48,53.44,107,27,37,43,89,40,32,17,267,129,48.31,5,0,0.0,29,6,20.69,1,0,0.0,22,3,13.64,2,0,0.0,2,0,0.0,0,0,0,16,7,43.75,7,5,22,1,9,15,65,30,46.15,4,2,12,6,50.0,111,58,52.25,30,15,50.0,4,1,25.0,45,24,11,2,0,150,112,74.67,65,60,92.31,181,163,90.06,43,22,51.16,56,38,67.86,83,60,72.29,3,1,33.33,19,14,73.68,7,16.87,4.03,9.53,20.17,20.75,7.85,Fulham,West Bromwich Albion,0,-1
32,2020-10-26,Brighton & Hove Albion - West Bromwich Albion 1:1,West Bromwich Albion,4-1-4-1,1,0.65,9,3,33.33,468,391,83.55,47.2,116,10,38,68,76,27,35,14,209,110,52.63,6,2,33.33,31,7,22.58,6,0,0.0,23,2,8.7,2,1,50.0,1,0,0.0,0,0,0,19,3,15.79,3,11,27,5,13,15,72,33,45.83,1,1,5,5,100.0,73,51,69.86,40,17,42.5,3,1,33.33,50,14,7,0,0,149,118,79.19,71,66,92.96,168,138,82.14,50,25,50.0,63,42,66.67,71,52,73.24,6,4,66.67,24,21,87.5,5,17.78,4.54,10.68,20.11,18.69,14.68,Brighton & Hove Albion,West Bromwich Albion,0,0
33,2020-10-19,West Bromwich Albion - Burnley 0:0,West Bromwich Albion,4-5-1,0,2.24,13,6,46.15,452,374,82.74,55.73,112,22,43,47,94,45,39,10,252,118,46.83,5,1,20.0,31,7,22.58,4,2,50.0,29,4,13.79,8,4,50.0,3,1,33.33,0,0,0,16,6,37.5,9,7,22,1,11,15,61,28,45.9,2,0,7,5,71.43,69,42,60.87,64,27,42.19,1,1,100.0,35,17,15,2,0,154,112,72.73,68,64,94.12,173,153,88.44,63,36,57.14,61,44,72.13,94,64,68.09,5,2,40.0,25,19,76.0,5,17.24,3.8,13.94,16.95,21.72,14.5,West Bromwich Albion,Burnley,1,0
